      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       7    1990       79.0000000       91.0503449
       2       2       7    1990       92.0000000       77.1835047
       3       3       7    1990       72.0000000       86.3485241
       4       4       7    1990       58.0000000      111.5577498
       5       5       7    1990       69.0000000      154.2927749
       6       6       7    1990       94.0000000      151.8732683
       7       7       7    1990      199.0000000      147.0171779
       8       8       7    1990      133.0000000      150.7015935
       9       9       7    1990      124.0000000      123.4216710
      10      10       7    1990      123.0000000      107.7730712
      11      11       7    1990       99.0000000       98.2579543
      12      12       7    1990       88.0000000       90.4738808
      13      13       7    1990       84.0000000       83.8402434
      14      14       7    1990       72.0000000       78.1494964
      15      15       7    1990       55.0000000       73.2424297
      16      16       7    1990       65.0000000       68.9909720
      17      17       7    1990       50.0000000       65.2911384
      18      18       7    1990       50.0000000       62.0578020
      19      19       7    1990       46.0000000       59.2207615
      20      20       7    1990       44.0000000       56.7217465
      21      21       7    1990       42.0000000       54.5121074
      22      22       7    1990       37.0000000       52.5510156
      23      23       7    1990       38.0000000       50.8040460
      24      24       7    1990       44.0000000       49.2420512
      25      25       7    1990       30.0000000       47.8402590
      26      26       7    1990       26.0000000       46.5775433
      27      27       7    1990       31.0000000       45.4358322
      28      28       7    1990       33.0000000       47.9483347
      29      29       7    1990       42.0000000       45.0546702
      30      30       7    1990       36.0000000       42.7031782
      31      31       7    1990       34.0000000       41.8988599
      32       1       8    1990       25.0000000       41.1581434
      33       2       8    1990       22.0000000       40.4733684
      34       3       8    1990       28.0000000       39.8378842
      35       4       8    1990       25.0000000       39.2459068
      36       5       8    1990       19.0000000       38.6923981
      37       6       8    1990       22.0000000       38.1729632
      38       7       8    1990       19.0000000       37.6837629
      39       8       8    1990       22.0000000       37.2214391
      40       9       8    1990       19.0000000       36.7830507
      41      10       8    1990       20.0000000       36.3660187
      42      11       8    1990       19.0000000       35.9680791
      43      12       8    1990       19.0000000       35.5872419
      44      13       8    1990       22.0000000       41.8736986
      45      14       8    1990       36.0000000       65.4229669
      46      15       8    1990       31.0000000       51.0873819
      47      16       8    1990       30.0000000       47.4616732
      48      17       8    1990       28.0000000       41.0214046
      49      18       8    1990       34.0000000       34.7512229
      50      19       8    1990       21.0000000       34.3405840
      51      20       8    1990       30.0000000       33.9501929
      52      21       8    1990       22.0000000       33.5778598
      53      22       8    1990       21.0000000       33.2216696
      54      23       8    1990       23.0000000       32.8799441
      55      24       8    1990       20.0000000       32.5512113
      56      25       8    1990       29.0000000       32.2341776
      57      26       8    1990       20.0000000       32.6536875
      58      27       8    1990       22.0000000       34.2583624
      59      28       8    1990       23.0000000       32.2294074
      60      29       8    1990       35.0000000       31.1830773
      61      30       8    1990       51.0000000      124.3410075
      62      31       8    1990       80.0000000      102.8843157
      63       1       9    1990       56.0000000       46.0919962
      64       2       9    1990       33.0000000       37.6838201
      65       3       9    1990       27.0000000       36.6133173
      66       4       9    1990       27.0000000       40.6661363
      67       5       9    1990       28.0000000       40.1461928
      68       6       9    1990       26.0000000       36.0395919
      69       7       9    1990       24.0000000       43.0810983
      70       8       9    1990       33.0000000       39.1876830
      71       9       9    1990       26.0000000       34.7313086
      72      10       9    1990       27.0000000       33.8815064
      73      11       9    1990       22.0000000       33.1121474
      74      12       9    1990       22.0000000       32.4125425
      75      13       9    1990       21.0000000       31.7736003
      76      14       9    1990       22.0000000       31.1875593
      77      15       9    1990       22.0000000       30.6477708
      78      16       9    1990       22.0000000       30.1485221
      79      17       9    1990       20.0000000       29.6848905
      80      18       9    1990       22.0000000       29.2526231
      81      19       9    1990       16.0000000       28.8480373
      82      20       9    1990       22.0000000       28.4679364
      83      21       9    1990       19.0000000       38.3926633
      84      22       9    1990       32.0000000      109.5440380
      85      23       9    1990       27.0000000       83.5980643
      86      24       9    1990       45.0000000       64.1546899
      87      25       9    1990       42.0000000       48.7011375
      88      26       9    1990       39.0000000       44.1830060
      89      27       9    1990       30.0000000       41.9876171
      90      28       9    1990       28.0000000       40.0552409
      91      29       9    1990       30.0000000       38.3482739
      92      30       9    1990       30.0000000       97.9523544
      93       1      10    1990       56.0000000      155.0994348
      94       2      10    1990       72.0000000      141.6987794
      95       3      10    1990       73.0000000      136.4366043
      96       4      10    1990       68.0000000      125.5760309
      97       5      10    1990       53.0000000      107.9312163
      98       6      10    1990       42.0000000       93.0949909
      99       7      10    1990       33.0000000       83.9733850
     100       8      10    1990       42.0000000       76.7656398
     101       9      10    1990       34.0000000       70.6331097
     102      10      10    1990       36.0000000       65.3560238
     103      11      10    1990       36.0000000       60.8038404
     104      12      10    1990       28.0000000       56.8598273
     105      13      10    1990       32.0000000       53.4288839
     106      14      10    1990       27.0000000       50.4328988
     107      15      10    1990       35.0000000       48.4808953
     108      16      10    1990       42.0000000       49.4853455
     109      17      10    1990       35.0000000       61.9879074
     110      18      10    1990       39.0000000       61.5247920
     111      19      10    1990       34.0000000       52.0728606
     112      20      10    1990       32.0000000       49.1280511
     113      21      10    1990       34.0000000       46.5676897
     114      22      10    1990       27.0000000       44.3259913
     115      23      10    1990       31.0000000       42.3552666
     116      24      10    1990       28.0000000       40.6159193
     117      25      10    1990       25.0000000       40.6393924
     118      26      10    1990       29.0000000       61.8054155
     119      27      10    1990       31.0000000       70.6875084
     120      28      10    1990       65.0000000      223.9579678
     121      29      10    1990       69.0000000      297.4845910
     122      30      10    1990      157.0000000      293.6790229
     123      31      10    1990      190.0000000      251.0521746
     124       1      11    1990      115.0000000      244.4187791
     125       2      11    1990      104.0000000      252.9922551
     126       3      11    1990      100.0000000      265.3058174
     127       4      11    1990      131.0000000      253.5603518
     128       5      11    1990      130.0000000      239.8787402
     129       6      11    1990      115.0000000      199.1797125
     130       7      11    1990      102.0000000      165.3071531
     131       8      11    1990       95.0000000      138.5347698
     132       9      11    1990       81.0000000      120.0310701
     133      10      11    1990       66.0000000      128.8214560
     134      11      11    1990       67.0000000      178.6435195
     135      12      11    1990       74.0000000      207.8520438
     136      13      11    1990      109.0000000      193.2097035
     137      14      11    1990       92.0000000      232.7812260
     138      15      11    1990       92.0000000      266.4463300
     139      16      11    1990      155.0000000      241.8853542
     140      17      11    1990      159.0000000      217.2100085
     141      18      11    1990      131.0000000      238.1427516
     142      19      11    1990      161.0000000      259.6139430
     143      20      11    1990      196.0000000      432.6756695
     144      21      11    1990      336.0000000      584.9011023
     145      22      11    1990      566.0000000      496.2220644
     146      23      11    1990      373.0000000      477.0876745
     147      24      11    1990      293.0000000      418.3413121
     148      25      11    1990      264.0000000      392.9272865
     149      26      11    1990      226.0000000      348.1457140
     150      27      11    1990      201.0000000      284.3402530
     151      28      11    1990      180.0000000      233.3203658
     152      29      11    1990      161.0000000      216.1786083
     153      30      11    1990      149.0000000      201.4625927
     154       1      12    1990      134.0000000      174.4009771
     155       2      12    1990      113.0000000      154.4056523
     156       3      12    1990       99.0000000      138.1115536
     157       4      12    1990      107.0000000      125.1526871
     158       5      12    1990       99.0000000      114.2261031
     159       6      12    1990       89.0000000      104.9392244
     160       7      12    1990       77.0000000       97.1466356
     161       8      12    1990       71.0000000       90.5528579
     162       9      12    1990       68.0000000       84.9353201
     163      10      12    1990       73.0000000       80.1191676
     164      11      12    1990       84.0000000       75.9655868
     165      12      12    1990       88.0000000       97.7451631
     166      13      12    1990       92.0000000      120.3700644
     167      14      12    1990      128.0000000      117.7953260
     168      15      12    1990      136.0000000      105.4090147
     169      16      12    1990      114.0000000       95.7825090
     170      17      12    1990      101.0000000       88.0258065
     171      18      12    1990       93.0000000       81.6808775
     172      19      12    1990       85.0000000       76.4301831
     173      20      12    1990       81.0000000       72.0395120
     174      21      12    1990      106.0000000      128.4446678
     175      22      12    1990      159.0000000      224.6984049
     176      23      12    1990      250.0000000      271.2358792
