      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000       66.8918184
       2       2       1    1990      129.0000000      153.3901816
       3       3       1    1990      117.0000000      147.8508721
       4       4       1    1990      111.0000000      141.8302373
       5       5       1    1990      112.0000000      136.4780821
       6       6       1    1990       93.0000000      136.5961136
       7       7       1    1990       87.0000000      131.6314129
       8       8       1    1990       84.0000000      127.0845232
       9       9       1    1990       80.0000000      129.9860310
      10      10       1    1990       78.0000000      126.2674601
      11      11       1    1990       78.0000000      115.8788486
      12      12       1    1990       77.0000000      111.2910556
      13      13       1    1990       76.0000000      111.3012209
      14      14       1    1990       73.0000000      113.3547002
      15      15       1    1990       66.0000000      118.9319844
      16      16       1    1990       76.0000000      122.6858865
      17      17       1    1990       73.0000000      114.8730771
      18      18       1    1990       71.0000000      111.6943893
      19      19       1    1990       90.0000000      100.1066945
      20      20       1    1990       82.0000000      100.5932903
      21      21       1    1990       80.0000000       97.1892036
      22      22       1    1990       81.0000000       93.4309406
      23      23       1    1990       97.0000000      149.5937610
      24      24       1    1990      198.0000000      146.4074778
      25      25       1    1990      392.0000000      148.4924891
      26      26       1    1990      519.0000000      136.1648087
      27      27       1    1990      565.0000000      103.3181672
      28      28       1    1990      331.0000000      100.8215799
      29      29       1    1990      293.0000000      108.5405951
      30      30       1    1990      302.0000000       93.7691279
      31      31       1    1990      233.0000000       91.2315080
      32       1       2    1990      198.0000000      101.9869459
      33       2       2    1990      183.0000000      108.1008810
      34       3       2    1990      206.0000000      105.0761368
      35       4       2    1990      215.0000000       89.3929521
      36       5       2    1990      183.0000000       86.7424356
      37       6       2    1990      159.0000000       85.0111261
      38       7       2    1990      167.0000000       83.3887657
      39       8       2    1990      138.0000000       82.4339191
      40       9       2    1990      126.0000000       83.8990717
      41      10       2    1990      131.0000000      124.0892296
      42      11       2    1990      173.0000000      139.9645992
      43      12       2    1990      240.0000000      122.3361213
      44      13       2    1990      270.0000000      164.7834204
      45      14       2    1990      458.0000000      260.3024929
      46      15       2    1990      996.0000000      293.4625716
      47      16       2    1990     1370.0000000      229.0448237
      48      17       2    1990     1540.0000000      196.1825983
      49      18       2    1990     1210.0000000      175.6962198
      50      19       2    1990      616.0000000      158.8622004
      51      20       2    1990      465.0000000      147.0109440
      52      21       2    1990      373.0000000      137.8118772
      53      22       2    1990      298.0000000      130.1595519
      54      23       2    1990      270.0000000      123.8268233
      55      24       2    1990      234.0000000      118.2082352
      56      25       2    1990      218.0000000      116.8194287
      57      26       2    1990      203.0000000      169.1232160
      58      27       2    1990      314.0000000      231.9577131
      59      28       2    1990      520.0000000      294.2170521
      60       1       3    1990      689.0000000      340.9817488
      61       2       3    1990      777.0000000      302.5816057
      62       3       3    1990      584.0000000      256.4450673
      63       4       3    1990      429.0000000      222.8416520
      64       5       3    1990      365.0000000      197.2992453
      65       6       3    1990      281.0000000      178.6508262
      66       7       3    1990      257.0000000      162.7296862
      67       8       3    1990      231.0000000      150.2317092
      68       9       3    1990      211.0000000      141.2251812
      69      10       3    1990      191.0000000      133.9263875
      70      11       3    1990      182.0000000      127.7154056
      71      12       3    1990      173.0000000      122.1758955
      72      13       3    1990      159.0000000      117.2303575
      73      14       3    1990      153.0000000      113.4048388
      74      15       3    1990      141.0000000      111.3704840
      75      16       3    1990      136.0000000      106.7845489
      76      17       3    1990      130.0000000      103.1732038
      77      18       3    1990      123.0000000       99.9533947
      78      19       3    1990      115.0000000       97.0032021
      79      20       3    1990      113.0000000       94.4799609
      80      21       3    1990      102.0000000       92.3689635
      81      22       3    1990      105.0000000       90.5048331
      82      23       3    1990      106.0000000       88.5615615
      83      24       3    1990       87.0000000       86.5783996
      84      25       3    1990       80.0000000       85.3094746
      85      26       3    1990       84.0000000       83.5784988
      86      27       3    1990       82.0000000       81.7804645
      87      28       3    1990       91.0000000       84.3483202
      88      29       3    1990       97.0000000       96.4323353
      89      30       3    1990      110.0000000       86.4808630
      90      31       3    1990       97.0000000       82.9811012
      91       1       4    1990       93.0000000       81.0407264
      92       2       4    1990       85.0000000       79.2889944
      93       3       4    1990       84.0000000       80.9628393
      94       4       4    1990       81.0000000       87.3973001
      95       5       4    1990       81.0000000       79.3873627
      96       6       4    1990       76.0000000       78.2674759
      97       7       4    1990       72.0000000       76.8625037
      98       8       4    1990       68.0000000       74.9833211
      99       9       4    1990       72.0000000       73.5203041
     100      10       4    1990       65.0000000       72.1661782
     101      11       4    1990       62.0000000       71.0290354
     102      12       4    1990       62.0000000       71.6999864
     103      13       4    1990       65.0000000       76.1609283
     104      14       4    1990       68.0000000       91.1555336
     105      15       4    1990       75.0000000       97.9825557
     106      16       4    1990       90.0000000       89.7482575
     107      17       4    1990       92.0000000       84.6368399
     108      18       4    1990       94.0000000       86.9014306
     109      19       4    1990      110.0000000       82.9226456
     110      20       4    1990       99.0000000       79.8831307
     111      21       4    1990       86.0000000       77.8333314
     112      22       4    1990       86.0000000       81.9706515
     113      23       4    1990       86.0000000       85.6469939
     114      24       4    1990       88.0000000       87.3368951
     115      25       4    1990       93.0000000       81.1474778
     116      26       4    1990       99.0000000       77.9758672
     117      27       4    1990       86.0000000       75.9449270
     118      28       4    1990       74.0000000       74.4283939
     119      29       4    1990       72.0000000       72.5421569
     120      30       4    1990       77.0000000       70.8256335
     121       1       5    1990       56.0000000       69.2328802
     122       2       5    1990       64.0000000       67.7431698
     123       3       5    1990       58.0000000       66.3461679
     124       4       5    1990       50.0000000       65.0327388
     125       5       5    1990       50.0000000       63.7947903
     126       6       5    1990       50.0000000       62.6251406
