      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
       1       1       1    1990      157.0000000     1236.4775240     1210.0000000     1210.0000000
       2       2       1    1990      129.0000000     1144.0867443     1120.0000000     1120.0000000
       3       3       1    1990      117.0000000     1089.2330499     1070.0000000     1070.0000000
       4       4       1    1990      111.0000000     1047.3773106     1030.0000000     1030.0000000
       5       5       1    1990      112.0000000     1015.7005236     1000.0000000     1000.0000000
       6       6       1    1990       93.0000000      998.7015242      985.0000000      985.0000000
       7       7       1    1990       87.0000000      961.4062961      946.0000000      946.0000000
       8       8       1    1990       84.0000000      935.6002173      922.0000000      922.0000000
       9       9       1    1990       80.0000000      909.4281623      896.0000000      896.0000000
      10      10       1    1990       78.0000000      903.0961820      892.0000000      892.0000000
      11      11       1    1990       78.0000000      896.1109678      885.0000000      885.0000000
      12      12       1    1990       77.0000000      897.9606355      888.0000000      888.0000000
      13      13       1    1990       76.0000000      893.1236034      882.0000000      882.0000000
      14      14       1    1990       73.0000000      858.8049328      840.0000000      840.0000000
      15      15       1    1990       66.0000000      857.7248514      837.0000000      837.0000000
      16      16       1    1990       76.0000000      842.2059686      824.0000000      824.0000000
      17      17       1    1990       73.0000000      835.4564179      818.0000000      818.0000000
      18      18       1    1990       71.0000000      842.7853510      829.0000000      829.0000000
      19      19       1    1990       90.0000000      865.6215219      851.0000000      851.0000000
      20      20       1    1990       82.0000000      851.7182927      830.0000000      830.0000000
      21      21       1    1990       80.0000000      849.0803735      833.0000000      833.0000000
      22      22       1    1990       81.0000000      841.5256298      826.0000000      826.0000000
      23      23       1    1990       97.0000000      886.7966443      797.0000000      797.0000000
      24      24       1    1990      198.0000000      886.8010613      807.0000000      807.0000000
      25      25       1    1990      392.0000000     1057.2625528      949.0000000      949.0000000
      26      26       1    1990      519.0000000     1250.8333285     1170.0000000     1170.0000000
      27      27       1    1990      565.0000000     1395.3751085     1330.0000000     1330.0000000
      28      28       1    1990      331.0000000     1531.6373358     1480.0000000     1480.0000000
      29      29       1    1990      293.0000000     1505.8818366     1450.0000000     1450.0000000
      30      30       1    1990      302.0000000     1340.1966235     1280.0000000     1280.0000000
      31      31       1    1990      233.0000000     1236.2531140     1190.0000000     1190.0000000
      32       1       2    1990      198.0000000     1172.6558366     1120.0000000     1120.0000000
      33       2       2    1990      183.0000000     1107.5591842     1060.0000000     1060.0000000
      34       3       2    1990      206.0000000     1071.8462508     1030.0000000     1030.0000000
      35       4       2    1990      215.0000000     1045.2018588     1010.0000000     1010.0000000
      36       5       2    1990      183.0000000     1048.3850963     1020.0000000     1020.0000000
      37       6       2    1990      159.0000000     1011.7894010      982.0000000      982.0000000
      38       7       2    1990      167.0000000      988.6882647      963.0000000      963.0000000
      39       8       2    1990      138.0000000      952.4391754      927.0000000      927.0000000
      40       9       2    1990      126.0000000      937.8128682      916.0000000      916.0000000
      41      10       2    1990      131.0000000      955.8859189      888.0000000      888.0000000
      42      11       2    1990      173.0000000      976.5113807      910.0000000      910.0000000
      43      12       2    1990      240.0000000     1055.7948662      985.0000000      985.0000000
      44      13       2    1990      270.0000000     1171.2565122     1080.0000000     1080.0000000
      45      14       2    1990      458.0000000     1422.4819935     1230.0000000     1230.0000000
      46      15       2    1990      996.0000000     1911.0791415     1750.0000000     1750.0000000
      47      16       2    1990     1370.0000000     3597.9943228     3620.0000000     3620.0000000
      48      17       2    1990     1540.0000000     4825.7669637     4830.0000000     4830.0000000
      49      18       2    1990     1210.0000000     5184.1715119     5130.0000000     5130.0000000
      50      19       2    1990      616.0000000     4897.0656060     4800.0000000     4800.0000000
      51      20       2    1990      465.0000000     4293.4180992     4180.0000000     4180.0000000
      52      21       2    1990      373.0000000     3611.2030996     3500.0000000     3500.0000000
      53      22       2    1990      298.0000000     3052.4433980     2960.0000000     2960.0000000
      54      23       2    1990      270.0000000     2662.2983578     2590.0000000     2590.0000000
      55      24       2    1990      234.0000000     2397.7803543     2340.0000000     2340.0000000
      56      25       2    1990      218.0000000     2239.6691217     2190.0000000     2190.0000000
      57      26       2    1990      203.0000000     2138.2910517     2020.0000000     2020.0000000
      58      27       2    1990      314.0000000     2219.8276054     2100.0000000     2100.0000000
      59      28       2    1990      520.0000000     2806.4446875     2700.0000000     2700.0000000
      60       1       3    1990      689.0000000     3350.8128274     3240.0000000     3240.0000000
      61       2       3    1990      777.0000000     3838.3911957     3760.0000000     3760.0000000
      62       3       3    1990      584.0000000     4008.9207127     3930.0000000     3930.0000000
      63       4       3    1990      429.0000000     3906.6854386     3820.0000000     3820.0000000
      64       5       3    1990      365.0000000     3594.1852170     3500.0000000     3500.0000000
      65       6       3    1990      281.0000000     3147.4923719     3050.0000000     3050.0000000
      66       7       3    1990      257.0000000     2781.7388768     2700.0000000     2700.0000000
      67       8       3    1990      231.0000000     2508.4613352     2440.0000000     2440.0000000
      68       9       3    1990      211.0000000     2308.1673490     2250.0000000     2250.0000000
      69      10       3    1990      191.0000000     2142.4057351     2090.0000000     2090.0000000
      70      11       3    1990      182.0000000     2025.4320102     1980.0000000     1980.0000000
      71      12       3    1990      173.0000000     1895.3885433     1850.0000000     1850.0000000
      72      13       3    1990      159.0000000     1782.0196239     1740.0000000     1740.0000000
      73      14       3    1990      153.0000000     1707.0842312     1670.0000000     1670.0000000
      74      15       3    1990      141.0000000     1626.9723920     1590.0000000     1590.0000000
      75      16       3    1990      136.0000000     1582.4166165     1550.0000000     1550.0000000
      76      17       3    1990      130.0000000     1568.9121261     1540.0000000     1540.0000000
      77      18       3    1990      123.0000000     1521.9627346     1490.0000000     1490.0000000
      78      19       3    1990      115.0000000     1453.2494750     1420.0000000     1420.0000000
      79      20       3    1990      113.0000000     1410.0581826     1380.0000000     1380.0000000
      80      21       3    1990      102.0000000     1415.0877629     1390.0000000     1390.0000000
      81      22       3    1990      105.0000000     1370.3412329     1340.0000000     1340.0000000
      82      23       3    1990      106.0000000     1329.2251352     1300.0000000     1300.0000000
      83      24       3    1990       87.0000000     1334.2003949     1310.0000000     1310.0000000
      84      25       3    1990       80.0000000     1343.8238039     1320.0000000     1320.0000000
      85      26       3    1990       84.0000000     1362.6156224     1340.0000000     1340.0000000
      86      27       3    1990       82.0000000     1336.9397401     1310.0000000     1310.0000000
      87      28       3    1990       91.0000000     1334.3392560     1310.0000000     1310.0000000
      88      29       3    1990       97.0000000     1352.4629794     1330.0000000     1330.0000000
      89      30       3    1990      110.0000000     1426.3628466     1410.0000000     1410.0000000
      90      31       3    1990       97.0000000     1451.5482355     1430.0000000     1430.0000000
      91       1       4    1990       93.0000000     1398.6027589     1370.0000000     1370.0000000
      92       2       4    1990       85.0000000     1374.6148140     1350.0000000     1350.0000000
      93       3       4    1990       84.0000000     1382.7198712     1360.0000000     1360.0000000
      94       4       4    1990       81.0000000     1383.8402530     1360.0000000     1360.0000000
      95       5       4    1990       81.0000000     1364.6996773     1340.0000000     1340.0000000
      96       6       4    1990       76.0000000     1335.2386365     1310.0000000     1310.0000000
      97       7       4    1990       72.0000000     1277.6563682     1250.0000000     1250.0000000
      98       8       4    1990       68.0000000     1262.7266282     1240.0000000     1240.0000000
      99       9       4    1990       72.0000000     1243.3513843     1220.0000000     1220.0000000
     100      10       4    1990       65.0000000     1241.2289098     1220.0000000     1220.0000000
     101      11       4    1990       62.0000000     1222.8095272     1200.0000000     1200.0000000
     102      12       4    1990       62.0000000     1238.8986053     1220.0000000     1220.0000000
     103      13       4    1990       65.0000000     1250.1542306     1230.0000000     1230.0000000
     104      14       4    1990       68.0000000     1263.6551361     1230.0000000     1230.0000000
     105      15       4    1990       75.0000000     1230.3804710     1200.0000000     1200.0000000
     106      16       4    1990       90.0000000     1263.1257858     1240.0000000     1240.0000000
     107      17       4    1990       92.0000000     1328.2565326     1310.0000000     1310.0000000
     108      18       4    1990       94.0000000     1388.1729850     1370.0000000     1370.0000000
     109      19       4    1990      110.0000000     1393.0913714     1370.0000000     1370.0000000
     110      20       4    1990       99.0000000     1401.3969706     1380.0000000     1380.0000000
     111      21       4    1990       86.0000000     1401.7732187     1380.0000000     1380.0000000
     112      22       4    1990       86.0000000     1369.5400973     1340.0000000     1340.0000000
     113      23       4    1990       86.0000000     1310.4837400     1280.0000000     1280.0000000
     114      24       4    1990       88.0000000     1257.3734126     1230.0000000     1230.0000000
     115      25       4    1990       93.0000000     1388.1250820     1380.0000000     1380.0000000
     116      26       4    1990       99.0000000     1519.2662008     1510.0000000     1510.0000000
     117      27       4    1990       86.0000000     1512.5016511     1490.0000000     1490.0000000
     118      28       4    1990       74.0000000     1491.9933010     1470.0000000     1470.0000000
     119      29       4    1990       72.0000000     1435.2400376     1410.0000000     1410.0000000
     120      30       4    1990       77.0000000     1374.8522741     1350.0000000     1350.0000000
     121       1       5    1990       56.0000000     1368.9752518     1350.0000000     1350.0000000
     122       2       5    1990       64.0000000     1296.0394743     1270.0000000     1270.0000000
     123       3       5    1990       58.0000000     1252.0676510     1230.0000000     1230.0000000
     124       4       5    1990       50.0000000     1229.9618496     1210.0000000     1210.0000000
     125       5       5    1990       50.0000000     1200.6399061     1180.0000000     1180.0000000
     126       6       5    1990       50.0000000     1206.7229754     1190.0000000     1190.0000000
     127       7       5    1990       50.0000000     1207.4279547     1190.0000000     1190.0000000
     128       8       5    1990       53.0000000     1234.4552444     1220.0000000     1220.0000000
     129       9       5    1990       62.0000000     1291.5074659     1280.0000000     1280.0000000
     130      10       5    1990       64.0000000     1336.4530679     1320.0000000     1320.0000000
     131      11       5    1990       65.0000000     1338.4890850     1320.0000000     1320.0000000
     132      12       5    1990       75.0000000     1346.0513158     1330.0000000     1330.0000000
     133      13       5    1990       71.0000000     1419.3513497     1410.0000000     1410.0000000
     134      14       5    1990       63.0000000     1417.4200568     1400.0000000     1400.0000000
     135      15       5    1990       61.0000000     1370.8994913     1350.0000000     1350.0000000
