      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
       1       1       1    1990      157.0000000      134.5284631     1210.0000000       98.9923452
       2       2       1    1990      129.0000000      125.7590302     1120.0000000       93.1926055
       3       3       1    1990      117.0000000      117.9936287     1070.0000000       88.0309112
       4       4       1    1990      111.0000000      111.0949080     1030.0000000       83.4223631
       5       5       1    1990      112.0000000      104.9802738     1000.0000000       79.4163489
       6       6       1    1990       93.0000000       99.7271425      985.0000000       75.8418186
       7       7       1    1990       87.0000000       94.7610217      946.0000000       72.4599766
       8       8       1    1990       84.0000000       90.3056847      922.0000000       69.4350413
       9       9       1    1990       80.0000000       86.3106881      896.0000000       66.6952463
      10      10       1    1990       78.0000000       82.6911838      892.0000000       64.1979046
      11      11       1    1990       78.0000000       79.4078399      885.0000000       61.9221061
      12      12       1    1990       77.0000000       76.4232370      888.0000000       59.8421267
      13      13       1    1990       76.0000000       74.8468477      882.0000000       57.9358932
      14      14       1    1990       73.0000000       77.1081286      840.0000000       56.4682563
      15      15       1    1990       66.0000000       85.7938506      837.0000000       62.5385710
      16      16       1    1990       76.0000000       85.6020496      824.0000000       60.7174303
      17      17       1    1990       73.0000000       86.2228613      818.0000000       66.3771193
      18      18       1    1990       71.0000000       87.5928259      829.0000000       64.7383617
      19      19       1    1990       90.0000000       83.2122917      851.0000000       60.6408949
      20      20       1    1990       82.0000000       85.7958841      830.0000000       61.3159734
      21      21       1    1990       80.0000000       82.9874027      833.0000000       59.8269517
      22      22       1    1990       81.0000000       78.3787857      826.0000000       57.3151232
      23      23       1    1990       97.0000000      174.2502268      797.0000000      103.4267714
      24      24       1    1990      198.0000000      213.1038813      807.0000000      111.7248582
      25      25       1    1990      392.0000000      278.0879931      949.0000000      153.6015920
      26      26       1    1990      519.0000000      304.3046421     1170.0000000      163.0241285
      27      27       1    1990      565.0000000      258.7635535     1330.0000000      140.4793116
      28      28       1    1990      331.0000000      237.3508391     1480.0000000      146.8628683
      29      29       1    1990      293.0000000      236.4400478     1450.0000000      152.0302088
      30      30       1    1990      302.0000000      200.8918380     1280.0000000      130.6197403
      31      31       1    1990      233.0000000      175.5352301     1190.0000000      116.7946734
      32       1       2    1990      198.0000000      183.4580257     1120.0000000      126.6387596
      33       2       2    1990      183.0000000      202.1631188     1060.0000000      148.1319535
      34       3       2    1990      206.0000000      207.4765646     1030.0000000      148.3992686
      35       4       2    1990      215.0000000      179.0645640     1010.0000000      127.4950031
      36       5       2    1990      183.0000000      159.5955037     1020.0000000      114.2112260
      37       6       2    1990      159.0000000      145.3536182      982.0000000      104.6283880
      38       7       2    1990      167.0000000      135.6440892      963.0000000       98.5515384
      39       8       2    1990      138.0000000      129.1583149      927.0000000       96.5585718
      40       9       2    1990      126.0000000      126.9094339      916.0000000       94.2588803
      41      10       2    1990      131.0000000      200.3185395      888.0000000      150.8014620
      42      11       2    1990      173.0000000      259.3232394      910.0000000      172.2555807
      43      12       2    1990      240.0000000      296.2017084      985.0000000      222.2795605
      44      13       2    1990      270.0000000      462.9209759     1080.0000000      386.8415330
      45      14       2    1990      458.0000000      845.4531462     1230.0000000      713.1916408
      46      15       2    1990      996.0000000     1109.4100865     1750.0000000      860.9372437
      47      16       2    1990     1370.0000000      972.4356012     3620.0000000      745.3808595
      48      17       2    1990     1540.0000000      796.7480808     4830.0000000      612.0688534
      49      18       2    1990     1210.0000000      653.5515900     5130.0000000      503.0930507
      50      19       2    1990      616.0000000      536.5400240     4800.0000000      414.1565528
      51      20       2    1990      465.0000000      442.3905827     4180.0000000      342.4485195
      52      21       2    1990      373.0000000      366.4455689     3500.0000000      284.5024947
      53      22       2    1990      298.0000000      306.8031746     2960.0000000      238.6453614
      54      23       2    1990      270.0000000      261.7537116     2590.0000000      203.0305821
      55      24       2    1990      234.0000000      228.1450895     2340.0000000      176.1515094
      56      25       2    1990      218.0000000      206.9315756     2190.0000000      155.7549591
      57      26       2    1990      203.0000000      313.5685490     2020.0000000      236.9201110
      58      27       2    1990      314.0000000      527.6831671     2100.0000000      415.2414646
      59      28       2    1990      520.0000000      726.5484199     2700.0000000      573.5156223
      60       1       3    1990      689.0000000      801.0188836     3240.0000000      599.5745457
      61       2       3    1990      777.0000000      696.3480169     3760.0000000      509.8292180
      62       3       3    1990      584.0000000      572.8014573     3930.0000000      420.7452192
      63       4       3    1990      429.0000000      473.1057291     3820.0000000      349.5145450
      64       5       3    1990      365.0000000      395.2961558     3500.0000000      294.2581095
      65       6       3    1990      281.0000000      331.5191065     3050.0000000      247.8585595
      66       7       3    1990      257.0000000      280.5862984     2700.0000000      211.2282373
      67       8       3    1990      231.0000000      244.0749953     2440.0000000      184.4404177
      68       9       3    1990      211.0000000      217.5464779     2250.0000000      164.1775735
      69      10       3    1990      191.0000000      197.4635118     2090.0000000      149.2626827
      70      11       3    1990      182.0000000      183.1010764     1980.0000000      139.3093315
      71      12       3    1990      173.0000000      173.0899114     1850.0000000      132.5629364
      72      13       3    1990      159.0000000      164.5737101     1740.0000000      126.8697583
      73      14       3    1990      153.0000000      158.8179506     1670.0000000      123.9622475
      74      15       3    1990      141.0000000      153.0449237     1590.0000000      119.6427613
      75      16       3    1990      136.0000000      146.1240153     1550.0000000      114.6280168
      76      17       3    1990      130.0000000      140.2945971     1540.0000000      110.4769438
      77      18       3    1990      123.0000000      135.0215401     1490.0000000      106.7039002
      78      19       3    1990      115.0000000      130.2362479     1420.0000000      103.2633515
      79      20       3    1990      113.0000000      126.0791201     1380.0000000      100.1912240
      80      21       3    1990      102.0000000      122.4180032     1390.0000000       97.4004101
      81      22       3    1990      105.0000000      119.1598080     1340.0000000       94.9292822
      82      23       3    1990      106.0000000      116.3624112     1300.0000000       92.6926597
      83      24       3    1990       87.0000000      113.5627223     1310.0000000       90.9224351
      84      25       3    1990       80.0000000      111.3483233     1320.0000000       89.4303024
      85      26       3    1990       84.0000000      108.4670235     1340.0000000       87.1362711
      86      27       3    1990       82.0000000      106.2136810     1310.0000000       85.7143974
      87      28       3    1990       91.0000000      114.3928319     1310.0000000       99.8398271
      88      29       3    1990       97.0000000      121.6111183     1330.0000000       97.5766414
      89      30       3    1990      110.0000000      113.0056389     1410.0000000       92.6158567
      90      31       3    1990       97.0000000      109.3631531     1430.0000000       89.9090743
      91       1       4    1990       93.0000000      106.5032313     1370.0000000       87.6124026
      92       2       4    1990       85.0000000      103.8563303     1350.0000000       85.4827417
      93       3       4    1990       84.0000000      108.5762024     1360.0000000       91.7323916
      94       4       4    1990       81.0000000      112.4939966     1360.0000000       90.9497177
      95       5       4    1990       81.0000000      105.3664268     1340.0000000       87.0188410
      96       6       4    1990       76.0000000      103.6879375     1310.0000000       85.4787996
      97       7       4    1990       72.0000000      100.9233023     1250.0000000       83.1576848
      98       8       4    1990       68.0000000       98.4971741     1240.0000000       81.2691427
      99       9       4    1990       72.0000000       96.3311396     1220.0000000       79.5315486
     100      10       4    1990       65.0000000       94.3470028     1220.0000000       77.9658390
     101      11       4    1990       62.0000000       93.3680991     1200.0000000       77.5290642
     102      12       4    1990       62.0000000       94.2967791     1220.0000000       79.3718814
     103      13       4    1990       65.0000000       99.0638707     1230.0000000       82.3965160
     104      14       4    1990       68.0000000      122.4495524     1230.0000000      100.0876289
     105      15       4    1990       75.0000000      126.3829956     1200.0000000       99.7248629
     106      16       4    1990       90.0000000      121.3095055     1240.0000000       97.2500263
     107      17       4    1990       92.0000000      118.0260431     1310.0000000       97.2917783
     108      18       4    1990       94.0000000      117.8929252     1370.0000000       96.4244351
     109      19       4    1990      110.0000000      112.6597534     1370.0000000       91.6763556
     110      20       4    1990       99.0000000      108.8202320     1380.0000000       88.8001646
     111      21       4    1990       86.0000000      105.5481668     1380.0000000       86.1393642
     112      22       4    1990       86.0000000      110.6060328     1340.0000000       87.6947968
     113      23       4    1990       86.0000000      118.2738805     1280.0000000       97.4731943
     114      24       4    1990       88.0000000      118.0035005     1230.0000000       95.9867248
     115      25       4    1990       93.0000000      110.4351933     1380.0000000       90.1170169
     116      26       4    1990       99.0000000      106.6354654     1510.0000000       87.1672944
     117      27       4    1990       86.0000000      103.9195334     1490.0000000       85.3025291
     118      28       4    1990       74.0000000      100.9951949     1470.0000000       82.9657535
     119      29       4    1990       72.0000000       98.0883540     1410.0000000       80.6669795
     120      30       4    1990       77.0000000       95.4169192     1350.0000000       78.5790042
     121       1       5    1990       56.0000000       92.9455035     1350.0000000       76.6415442
     122       2       5    1990       64.0000000       90.6527285     1270.0000000       74.8388456
     123       3       5    1990       58.0000000       88.5198415     1230.0000000       73.1570369
     124       4       5    1990       50.0000000       86.5303329     1210.0000000       71.5838790
     125       5       5    1990       50.0000000       84.6696390     1180.0000000       70.1085514
     126       6       5    1990       50.0000000       82.9269399     1190.0000000       68.7252425
     127       7       5    1990       50.0000000       81.5410108     1190.0000000       67.7649066
     128       8       5    1990       53.0000000       81.6330609     1220.0000000       68.3017029
     129       9       5    1990       62.0000000       80.5187438     1280.0000000       67.2205733
     130      10       5    1990       64.0000000       86.9808373     1320.0000000       70.9104540
     131      11       5    1990       65.0000000       87.4470415     1320.0000000       71.1228210
     132      12       5    1990       75.0000000       80.3830445     1330.0000000       66.5118943
     133      13       5    1990       71.0000000       78.5634969     1410.0000000       65.0920507
     134      14       5    1990       63.0000000       77.1642794     1400.0000000       63.9413679
     135      15       5    1990       61.0000000       76.6264327     1350.0000000       63.8262385
     136      16       5    1990       49.0000000       75.2138155     1350.0000000       62.5814282
     137      17       5    1990       46.0000000       73.6732891     1360.0000000       61.2568834
     138      18       5    1990       46.0000000       72.3714344     1360.0000000       60.2067615
     139      19       5    1990       48.0000000       71.1367713     1360.0000000       59.2089708
     140      20       5    1990       41.0000000       70.1635045     1360.0000000       58.4992293
     141      21       5    1990       45.0000000       77.1080439     1340.0000000       68.4355944
     142      22       5    1990       52.0000000       76.7587115     1360.0000000       62.8107986
     143      23       5    1990       50.0000000       77.2416154     1390.0000000       67.8611786
     144      24       5    1990       56.0000000       80.7067269     1410.0000000       69.2455251
     145      25       5    1990       41.0000000       76.4942035     1430.0000000       63.8829183
     146      26       5    1990       40.0000000       71.4137695     1480.0000000       60.2920989
     147      27       5    1990       39.0000000       69.9558268     1560.0000000       59.0388157
     148      28       5    1990       39.0000000       68.5886476     1750.0000000       57.8646847
     149      29       5    1990       33.0000000       67.3024496     1650.0000000       56.7614849
     150      30       5    1990       37.0000000       66.0890542     1520.0000000       55.7219902
