      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
      76      17       3    1990      130.0000000     1696.9703874     1540.0000000     1667.6207809
      77      18       3    1990      123.0000000     1645.6389666     1490.0000000     1613.3081788
      78      19       3    1990      115.0000000     1573.2221275     1420.0000000     1539.6597858
      79      20       3    1990      113.0000000     1526.8748877     1380.0000000     1496.5491732
      80      21       3    1990      102.0000000     1529.3031562     1390.0000000     1503.9949457
      81      22       3    1990      105.0000000     1482.7972910     1340.0000000     1452.3533834
      82      23       3    1990      106.0000000     1440.5780561     1300.0000000     1411.2110988
      83      24       3    1990       87.0000000     1445.0329320     1310.0000000     1421.0001455
      84      25       3    1990       80.0000000     1455.9833619     1320.0000000     1432.0304652
      85      26       3    1990       84.0000000     1472.0788019     1340.0000000     1449.2291371
      86      27       3    1990       82.0000000     1445.8530199     1310.0000000     1419.1961152
      87      28       3    1990       91.0000000     1462.2988880     1310.0000000     1441.2277015
      88      29       3    1990       97.0000000     1489.3691120     1330.0000000     1465.8371748
      89      30       3    1990      110.0000000     1559.3268954     1410.0000000     1542.4545274
      90      31       3    1990       97.0000000     1577.8156237     1430.0000000     1555.6412759
      91       1       4    1990       93.0000000     1518.6547327     1370.0000000     1489.5359287
      92       2       4    1990       85.0000000     1489.5265886     1350.0000000     1464.4831416
      93       3       4    1990       84.0000000     1504.0538465     1360.0000000     1483.8428195
      94       4       4    1990       81.0000000     1512.4087451     1360.0000000     1487.0119457
      95       5       4    1990       81.0000000     1487.7223136     1340.0000000     1463.2124456
      96       6       4    1990       76.0000000     1458.2489533     1310.0000000     1432.5047155
      97       7       4    1990       72.0000000     1394.3204202     1250.0000000     1366.1394197
      98       8       4    1990       68.0000000     1374.3275986     1240.0000000     1351.2059438
      99       9       4    1990       72.0000000     1351.1160877     1220.0000000     1327.4481384
     100      10       4    1990       65.0000000     1345.9978340     1220.0000000     1324.5265471
     101      11       4    1990       62.0000000     1327.0346722     1200.0000000     1304.2293989
     102      12       4    1990       62.0000000     1345.1594738     1220.0000000     1326.7821546
     103      13       4    1990       65.0000000     1361.8891447     1230.0000000     1341.7947864
     104      14       4    1990       68.0000000     1397.6761717     1230.0000000     1367.9050878
     105      15       4    1990       75.0000000     1374.5906011     1200.0000000     1343.7705726
     106      16       4    1990       90.0000000     1408.9013816     1240.0000000     1385.1557778
     107      17       4    1990       92.0000000     1477.6796549     1310.0000000     1461.0387977
     108      18       4    1990       94.0000000     1542.3647374     1370.0000000     1523.1485031
     109      19       4    1990      110.0000000     1534.0171912     1370.0000000     1509.8357526
     110      20       4    1990       99.0000000     1531.4169410     1380.0000000     1509.1174595
     111      21       4    1990       86.0000000     1522.8937420     1380.0000000     1500.3879779
     112      22       4    1990       86.0000000     1486.6105602     1340.0000000     1457.3610378
     113      23       4    1990       86.0000000     1442.0067660     1280.0000000     1413.9523720
     114      24       4    1990       88.0000000     1397.4019093     1230.0000000     1368.9995448
     115      25       4    1990       93.0000000     1520.2653386     1380.0000000     1511.3497256
     116      26       4    1990       99.0000000     1642.8025487     1510.0000000     1632.8979876
     117      27       4    1990       86.0000000     1631.7651966     1490.0000000     1609.0150844
     118      28       4    1990       74.0000000     1607.0722683     1470.0000000     1584.5615702
     119      29       4    1990       72.0000000     1543.9240116     1410.0000000     1518.1374393
     120      30       4    1990       77.0000000     1478.1098951     1350.0000000     1452.8070199
     121       1       5    1990       56.0000000     1467.7443674     1350.0000000     1448.3948272
     122       2       5    1990       64.0000000     1391.0665959     1270.0000000     1364.7136259
     123       3       5    1990       58.0000000     1343.9478621     1230.0000000     1321.6152172
     124       4       5    1990       50.0000000     1319.1702527     1210.0000000     1298.9821667
     125       5       5    1990       50.0000000     1287.5564368     1180.0000000     1266.7213182
     126       6       5    1990       50.0000000     1291.6520309     1190.0000000     1274.7587270
     127       7       5    1990       50.0000000     1290.8793370     1190.0000000     1273.3457769
     128       8       5    1990       53.0000000     1318.7409546     1220.0000000     1304.3664626
     129       9       5    1990       62.0000000     1375.1306872     1280.0000000     1363.5039856
     130      10       5    1990       64.0000000     1422.2165473     1320.0000000     1406.7893954
     131      11       5    1990       65.0000000     1427.4611855     1320.0000000     1408.2367982
     132      12       5    1990       75.0000000     1430.9316252     1330.0000000     1414.6796087
     133      13       5    1990       71.0000000     1502.2847994     1410.0000000     1492.8324943
     134      14       5    1990       63.0000000     1499.0993542     1400.0000000     1481.5219274
     135      15       5    1990       61.0000000     1451.0293477     1350.0000000     1430.0222018
     136      16       5    1990       49.0000000     1444.7170775     1350.0000000     1428.4545831
     137      17       5    1990       46.0000000     1451.7489895     1360.0000000     1436.6275545
     138      18       5    1990       46.0000000     1450.9757704     1360.0000000     1435.1346332
     139      19       5    1990       48.0000000     1449.4514231     1360.0000000     1433.8022120
     140      20       5    1990       41.0000000     1448.1194098     1360.0000000     1432.6593486
     141      21       5    1990       45.0000000     1438.5731501     1340.0000000     1423.2037737
     142      22       5    1990       52.0000000     1452.2933825     1360.0000000     1437.4822892
     143      23       5    1990       50.0000000     1483.5801049     1390.0000000     1472.7547446
     144      24       5    1990       56.0000000     1508.4011497     1410.0000000     1494.9051235
     145      25       5    1990       41.0000000     1522.9356952     1430.0000000     1509.2327219
     146      26       5    1990       40.0000000     1565.7120058     1480.0000000     1555.5814152
     147      27       5    1990       39.0000000     1640.5232768     1560.0000000     1633.3516317
     148      28       5    1990       39.0000000     1818.2926871     1750.0000000     1821.4442572
     149      29       5    1990       33.0000000     1743.2065988     1650.0000000     1719.7941713
     150      30       5    1990       37.0000000     1614.3633214     1520.0000000     1588.3499031
     151      31       5    1990       30.0000000     1546.4719997     1460.0000000     1527.0707043
     152       1       6    1990       37.0000000     1521.2499149     1430.0000000     1500.8531096
     153       2       6    1990       36.0000000     1485.8793949     1390.0000000     1467.0628409
     154       3       6    1990       40.0000000     1504.0134964     1370.0000000     1470.9440329
     155       4       6    1990       45.0000000     1490.3896995     1390.0000000     1472.6795523
     156       5       6    1990       39.0000000     1490.4949811     1400.0000000     1477.1458648
     157       6       6    1990       48.0000000     1451.9300722     1360.0000000     1434.2236090
     158       7       6    1990       39.0000000     1572.1007066     1420.0000000     1553.3741404
     159       8       6    1990       49.0000000     1675.7923756     1530.0000000     1658.2304614
     160       9       6    1990       84.0000000     1744.4841290     1600.0000000     1727.1118072
     161      10       6    1990       91.0000000     1826.0294965     1700.0000000     1816.6163173
     162      11       6    1990       80.0000000     2012.2565569     1910.0000000     2015.4984437
     163      12       6    1990       66.0000000     2095.0416635     1990.0000000     2087.0638479
     164      13       6    1990       53.0000000     2141.3355832     2040.0000000     2131.2483313
     165      14       6    1990       64.0000000     2121.5869308     2020.0000000     2105.3797975
     166      15       6    1990       55.0000000     2123.0793268     2030.0000000     2110.0780805
     167      16       6    1990       54.0000000     2128.3772397     2040.0000000     2115.7516209
     168      17       6    1990       42.0000000     2089.1000562     2000.0000000     2072.1880751
     169      18       6    1990       48.0000000     1975.5905279     1880.0000000     1952.0540805
     170      19       6    1990       48.0000000     1911.4112518     1790.0000000     1890.9393460
     171      20       6    1990       60.0000000     1913.3329420     1770.0000000     1894.5298317
     172      21       6    1990       75.0000000     1909.3383376     1770.0000000     1892.7045981
     173      22       6    1990       78.0000000     1952.2068790     1830.0000000     1943.0746795
     174      23       6    1990       66.0000000     2137.5202344     2040.0000000     2141.9917972
     175      24       6    1990       63.0000000     2128.4366154     2020.0000000     2113.1587312
     176      25       6    1990       52.0000000     1991.7147316     1880.0000000     1965.9229787
