      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1990      157.0000000      120.2189122
       2       2       1    1990      129.0000000      110.5187550
       3       3       1    1990      117.0000000      102.7380020
       4       4       1    1990      111.0000000       96.4521499
       5       5       1    1990      112.0000000       91.4560729
       6       6       1    1990       93.0000000       88.4411813
       7       7       1    1990       87.0000000       85.4037430
       8       8       1    1990       84.0000000       82.2467098
       9       9       1    1990       80.0000000       79.5048518
      10      10       1    1990       78.0000000       77.1798891
      11      11       1    1990       78.0000000       75.1871771
      12      12       1    1990       77.0000000       73.4599520
      13      13       1    1990       76.0000000       73.1351989
      14      14       1    1990       73.0000000       76.1338837
      15      15       1    1990       66.0000000       88.4411707
      16      16       1    1990       76.0000000       88.9709058
      17      17       1    1990       73.0000000       98.2992391
      18      18       1    1990       71.0000000      105.1283504
      19      19       1    1990       90.0000000       99.6383906
      20      20       1    1990       82.0000000      100.6434736
      21      21       1    1990       80.0000000       93.2895075
      22      22       1    1990       81.0000000       86.8651674
      23      23       1    1990       97.0000000      217.8030408
      24      24       1    1990      198.0000000      250.9785657
      25      25       1    1990      392.0000000      359.0923472
      26      26       1    1990      519.0000000      357.1628611
      27      27       1    1990      565.0000000      295.1409347
      28      28       1    1990      331.0000000      279.6684865
      29      29       1    1990      293.0000000      270.7973249
      30      30       1    1990      302.0000000      229.0046859
      31      31       1    1990      233.0000000      198.4047691
      32       1       2    1990      198.0000000      206.3175275
      33       2       2    1990      183.0000000      226.3257484
      34       3       2    1990      206.0000000      225.7875755
      35       4       2    1990      215.0000000      194.0323994
      36       5       2    1990      183.0000000      170.8339660
      37       6       2    1990      159.0000000      152.7171138
      38       7       2    1990      167.0000000      138.3898076
      39       8       2    1990      138.0000000      133.3190036
      40       9       2    1990      126.0000000      132.6880976
      41      10       2    1990      131.0000000      255.1023540
      42      11       2    1990      173.0000000      304.3551256
      43      12       2    1990      240.0000000      360.3547210
      44      13       2    1990      270.0000000      582.6348949
      45      14       2    1990      458.0000000     1109.5307001
      46      15       2    1990      996.0000000     1292.1445381
      47      16       2    1990     1370.0000000     1019.2392322
      48      17       2    1990     1540.0000000      755.4152826
      49      18       2    1990     1210.0000000      573.1886100
      50      19       2    1990      616.0000000      447.9209169
      51      20       2    1990      465.0000000      369.3686498
      52      21       2    1990      373.0000000      316.8047757
      53      22       2    1990      298.0000000      276.3774587
      54      23       2    1990      270.0000000      244.9678923
      55      24       2    1990      234.0000000      220.3750978
      56      25       2    1990      218.0000000      207.9566322
      57      26       2    1990      203.0000000      377.2589991
      58      27       2    1990      314.0000000      617.1837010
      59      28       2    1990      520.0000000      863.2477916
      60       1       3    1990      689.0000000      877.2291606
      61       2       3    1990      777.0000000      692.9793687
      62       3       3    1990      584.0000000      529.3953472
      63       4       3    1990      429.0000000      429.9603709
      64       5       3    1990      365.0000000      370.4385251
      65       6       3    1990      281.0000000      323.1434891
      66       7       3    1990      257.0000000      286.3549478
      67       8       3    1990      231.0000000      257.7458898
      68       9       3    1990      211.0000000      235.3025659
      69      10       3    1990      191.0000000      217.5603033
      70      11       3    1990      182.0000000      203.3948724
      71      12       3    1990      173.0000000      191.9791465
      72      13       3    1990      159.0000000      183.1715134
      73      14       3    1990      153.0000000      179.7743056
      74      15       3    1990      141.0000000      177.3851863
      75      16       3    1990      136.0000000      170.5718525
      76      17       3    1990      130.0000000      164.7570599
      77      18       3    1990      123.0000000      159.8501364
      78      19       3    1990      115.0000000      155.6631562
      79      20       3    1990      113.0000000      152.5373691
      80      21       3    1990      102.0000000      149.7268541
      81      22       3    1990      105.0000000      147.4718462
      82      23       3    1990      106.0000000      146.3396313
      83      24       3    1990       87.0000000      144.9446566
      84      25       3    1990       80.0000000      146.0803680
      85      26       3    1990       84.0000000      143.1121726
      86      27       3    1990       82.0000000      141.4796334
      87      28       3    1990       91.0000000      158.8115522
      88      29       3    1990       97.0000000      169.5376796
      89      30       3    1990      110.0000000      165.1432264
      90      31       3    1990       97.0000000      158.0152307
      91       1       4    1990       93.0000000      151.4688122
      92       2       4    1990       85.0000000      146.0107773
      93       3       4    1990       84.0000000      152.8840858
      94       4       4    1990       81.0000000      161.0395463
      95       5       4    1990       81.0000000      153.6694367
      96       6       4    1990       76.0000000      153.2588891
      97       7       4    1990       72.0000000      146.6186368
      98       8       4    1990       68.0000000      141.0774962
      99       9       4    1990       72.0000000      136.4209230
     100      10       4    1990       65.0000000      132.5315460
     101      11       4    1990       62.0000000      131.8451404
     102      12       4    1990       62.0000000      132.5041220
     103      13       4    1990       65.0000000      137.0360292
     104      14       4    1990       68.0000000      172.9963222
     105      15       4    1990       75.0000000      177.3951506
     106      16       4    1990       90.0000000      178.0088997
     107      17       4    1990       92.0000000      182.5886227
     108      18       4    1990       94.0000000      184.1183877
     109      19       4    1990      110.0000000      170.3234152
     110      20       4    1990       99.0000000      158.7027863
     111      21       4    1990       86.0000000      149.3992983
     112      22       4    1990       86.0000000      147.6559129
     113      23       4    1990       86.0000000      155.9653232
     114      24       4    1990       88.0000000      159.0082630
     115      25       4    1990       93.0000000      150.3750450
     116      26       4    1990       99.0000000      142.3779510
     117      27       4    1990       86.0000000      138.8868823
     118      28       4    1990       74.0000000      135.4481836
     119      29       4    1990       72.0000000      129.6887947
     120      30       4    1990       77.0000000      124.7300154
     121       1       5    1990       56.0000000      120.5647479
     122       2       5    1990       64.0000000      117.0320689
     123       3       5    1990       58.0000000      114.0046261
     124       4       5    1990       50.0000000      111.3815010
     125       5       5    1990       50.0000000      109.0826223
     126       6       5    1990       50.0000000      107.0443838
     127       7       5    1990       50.0000000      105.2545133
     128       8       5    1990       53.0000000      104.7894721
     129       9       5    1990       62.0000000      103.9601175
     130      10       5    1990       64.0000000      106.2553457
     131      11       5    1990       65.0000000      107.1556524
     132      12       5    1990       75.0000000      102.4192653
     133      13       5    1990       71.0000000      100.5860352
     134      14       5    1990       63.0000000       99.2213864
     135      15       5    1990       61.0000000       97.7414966
     136      16       5    1990       49.0000000       96.3640149
     137      17       5    1990       46.0000000       94.9396317
     138      18       5    1990       46.0000000       93.6326964
     139      19       5    1990       48.0000000       92.4104445
     140      20       5    1990       41.0000000       91.2989697
     141      21       5    1990       45.0000000       97.5771229
     142      22       5    1990       52.0000000       95.6102491
     143      23       5    1990       50.0000000       97.6313656
     144      24       5    1990       56.0000000      100.1169458
     145      25       5    1990       41.0000000       94.4063136
     146      26       5    1990       40.0000000       90.8390015
     147      27       5    1990       39.0000000       89.0337545
     148      28       5    1990       39.0000000       87.4302907
     149      29       5    1990       33.0000000       85.9884051
     150      30       5    1990       37.0000000       84.6764195
     151      31       5    1990       30.0000000       83.4693182
     152       1       6    1990       37.0000000       97.2898997
     153       2       6    1990       36.0000000       97.3449241
     154       3       6    1990       40.0000000      123.8858820
     155       4       6    1990       45.0000000      102.5822604
     156       5       6    1990       39.0000000       92.2728716
     157       6       6    1990       48.0000000       88.9542282
     158       7       6    1990       39.0000000      142.6130184
     159       8       6    1990       49.0000000      141.4573253
     160       9       6    1990       84.0000000      132.3115457
     161      10       6    1990       91.0000000      120.2781138
     162      11       6    1990       80.0000000      110.4216224
     163      12       6    1990       66.0000000      103.2806777
     164      13       6    1990       53.0000000       97.5208099
     165      14       6    1990       64.0000000       92.6799392
     166      15       6    1990       55.0000000       88.7032066
     167      16       6    1990       54.0000000       85.3880756
     168      17       6    1990       42.0000000       82.6000487
     169      18       6    1990       48.0000000       80.6490695
     170      19       6    1990       48.0000000      104.6609133
     171      20       6    1990       60.0000000      123.7513994
     172      21       6    1990       75.0000000      120.6497178
     173      22       6    1990       78.0000000      111.0663225
     174      23       6    1990       66.0000000      102.4665445
     175      24       6    1990       63.0000000       95.4844504
     176      25       6    1990       52.0000000       90.1124652
     177      26       6    1990       49.0000000       85.6917885
     178      27       6    1990       44.0000000       88.2867389
     179      28       6    1990       51.0000000       85.1554704
     180      29       6    1990       61.0000000      111.9488062
     181      30       6    1990       81.0000000      138.9985748
     182       1       7    1990       79.0000000      102.5858926
     183       2       7    1990       92.0000000       89.7220664
     184       3       7    1990       72.0000000       98.1815989
     185       4       7    1990       58.0000000      120.5546710
     186       5       7    1990       69.0000000      157.0873993
     187       6       7    1990       94.0000000      138.6512647
     188       7       7    1990      199.0000000      142.6427136
     189       8       7    1990      133.0000000      142.4214312
     190       9       7    1990      124.0000000      124.2847612
     191      10       7    1990      123.0000000      112.7379203
     192      11       7    1990       99.0000000      103.4403278
     193      12       7    1990       88.0000000       95.9195433
     194      13       7    1990       84.0000000       89.8048904
     195      14       7    1990       72.0000000       84.8049148
     196      15       7    1990       55.0000000       80.6900163
     197      16       7    1990       65.0000000       77.2790102
     198      17       7    1990       50.0000000       74.4286941
     199      18       7    1990       50.0000000       72.0257227
     200      19       7    1990       46.0000000       69.9802626
     201      20       7    1990       44.0000000       68.2210265
     202      21       7    1990       42.0000000       66.6913779
     203      22       7    1990       37.0000000       65.3462694
