      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
       1       1       1    1990      157.0000000     1367.3817667     1210.0000000     1308.9923452
       2       2       1    1990      129.0000000     1266.3270031     1120.0000000     1213.1926055
       3       3       1    1990      117.0000000     1199.4202807     1070.0000000     1158.0309112
       4       4       1    1990      111.0000000     1150.2362293     1030.0000000     1113.4223631
       5       5       1    1990      112.0000000     1111.8362649     1000.0000000     1079.4163489
       6       6       1    1990       93.0000000     1088.1551381      985.0000000     1060.8418186
       7       7       1    1990       87.0000000     1049.6738097      946.0000000     1018.4599766
       8       8       1    1990       84.0000000     1017.7904776      922.0000000      991.4350413
       9       9       1    1990       80.0000000      988.2525469      896.0000000      962.6952463
      10      10       1    1990       78.0000000      975.6053161      892.0000000      956.1979046
      11      11       1    1990       78.0000000      966.0075711      885.0000000      946.9221061
      12      12       1    1990       77.0000000      963.7376380      888.0000000      947.8421267
      13      13       1    1990       76.0000000      958.2180458      882.0000000      939.9358932
      14      14       1    1990       73.0000000      926.7065155      840.0000000      896.4682563
      15      15       1    1990       66.0000000      923.4794500      837.0000000      899.5385710
      16      16       1    1990       76.0000000      912.5729790      824.0000000      884.7174303
      17      17       1    1990       73.0000000      905.5940596      818.0000000      884.3771193
      18      18       1    1990       71.0000000      914.0789627      829.0000000      893.7383617
      19      19       1    1990       90.0000000      929.1845651      851.0000000      911.6408949
      20      20       1    1990       82.0000000      920.5950773      830.0000000      891.3159734
      21      21       1    1990       80.0000000      915.3018039      833.0000000      892.8269517
      22      22       1    1990       81.0000000      905.9785168      826.0000000      883.3151232
      23      23       1    1990       97.0000000      977.8776845      797.0000000      900.4267714
      24      24       1    1990      198.0000000     1017.8185514      807.0000000      918.7248582
      25      25       1    1990      392.0000000     1194.6363039      949.0000000     1102.6015920
      26      26       1    1990      519.0000000     1423.7988430     1170.0000000     1333.0241285
      27      27       1    1990      565.0000000     1552.1982679     1330.0000000     1470.4793116
      28      28       1    1990      331.0000000     1683.0708843     1480.0000000     1626.8628683
      29      29       1    1990      293.0000000     1693.2960370     1450.0000000     1602.0302088
      30      30       1    1990      302.0000000     1519.7424519     1280.0000000     1410.6197403
      31      31       1    1990      233.0000000     1386.1032037     1190.0000000     1306.7946734
      32       1       2    1990      198.0000000     1319.4553381     1120.0000000     1246.6387596
      33       2       2    1990      183.0000000     1275.8751008     1060.0000000     1208.1319535
      34       3       2    1990      206.0000000     1244.3325559     1030.0000000     1178.3992686
      35       4       2    1990      215.0000000     1193.6352247     1010.0000000     1137.4950031
      36       5       2    1990      183.0000000     1177.3101737     1020.0000000     1134.2112260
      37       6       2    1990      159.0000000     1136.0378730      982.0000000     1086.6283880
      38       7       2    1990      167.0000000     1102.9862170      963.0000000     1061.5515384
      39       8       2    1990      138.0000000     1064.3855039      927.0000000     1023.5585718
      40       9       2    1990      126.0000000     1045.4232974      916.0000000     1010.2588803
      41      10       2    1990      131.0000000     1094.7174642      888.0000000     1038.8014620
      42      11       2    1990      173.0000000     1164.2955132      910.0000000     1082.2555807
      43      12       2    1990      240.0000000     1264.0617316      985.0000000     1207.2795605
      44      13       2    1990      270.0000000     1521.2103381     1080.0000000     1466.8415330
      45      14       2    1990      458.0000000     2041.1731921     1230.0000000     1943.1916408
      46      15       2    1990      996.0000000     2740.5729138     1750.0000000     2610.9372437
      47      16       2    1990     1370.0000000     4165.0788456     3620.0000000     4365.3808595
      48      17       2    1990     1540.0000000     5350.2231065     4830.0000000     5442.0688534
      49      18       2    1990     1210.0000000     5714.9916718     5130.0000000     5633.0930507
      50      19       2    1990      616.0000000     5411.9559182     4800.0000000     5214.1565528
      51      20       2    1990      465.0000000     4764.0810594     4180.0000000     4522.4485195
      52      21       2    1990      373.0000000     4021.8480296     3500.0000000     3784.5024947
      53      22       2    1990      298.0000000     3390.2110129     2960.0000000     3198.6453614
      54      23       2    1990      270.0000000     2936.3109348     2590.0000000     2793.0305821
      55      24       2    1990      234.0000000     2625.2783485     2340.0000000     2516.1515094
      56      25       2    1990      218.0000000     2431.2115312     2190.0000000     2345.7549591
      57      26       2    1990      203.0000000     2372.4191641     2020.0000000     2256.9201110
      58      27       2    1990      314.0000000     2609.4005270     2100.0000000     2515.2414646
      59      28       2    1990      520.0000000     3289.4286061     2700.0000000     3273.5156223
      60       1       3    1990      689.0000000     3917.6110461     3240.0000000     3839.5745457
      61       2       3    1990      777.0000000     4337.5108404     3760.0000000     4269.8292180
      62       3       3    1990      584.0000000     4463.9508386     3930.0000000     4350.7452192
      63       4       3    1990      429.0000000     4318.2443598     3820.0000000     4169.5145450
      64       5       3    1990      365.0000000     3968.4267238     3500.0000000     3794.2581095
      65       6       3    1990      281.0000000     3484.3589694     3050.0000000     3297.8585595
      66       7       3    1990      257.0000000     3060.5728603     2700.0000000     2911.2282373
      67       8       3    1990      231.0000000     2743.4935843     2440.0000000     2624.4404177
      68       9       3    1990      211.0000000     2510.9677545     2250.0000000     2414.1775735
      69      10       3    1990      191.0000000     2324.0287971     2090.0000000     2239.2626827
      70      11       3    1990      182.0000000     2188.2397103     1980.0000000     2119.3093315
      71      12       3    1990      173.0000000     2052.7992053     1850.0000000     1982.5629364
      72      13       3    1990      159.0000000     1929.7123437     1740.0000000     1866.8697583
      73      14       3    1990      153.0000000     1844.8152632     1670.0000000     1793.9622475
      74      15       3    1990      141.0000000     1761.3275661     1590.0000000     1709.6427613
      75      16       3    1990      136.0000000     1705.2653369     1550.0000000     1664.6280168
      76      17       3    1990      130.0000000     1682.5799277     1540.0000000     1650.4769438
      77      18       3    1990      123.0000000     1636.4481913     1490.0000000     1596.7039002
      78      19       3    1990      115.0000000     1566.2335599     1420.0000000     1523.2633515
      79      20       3    1990      113.0000000     1515.2204417     1380.0000000     1480.1912240
      80      21       3    1990      102.0000000     1510.1326734     1390.0000000     1487.4004101
      81      22       3    1990      105.0000000     1470.5864590     1340.0000000     1434.9292822
      82      23       3    1990      106.0000000     1425.5037325     1300.0000000     1392.6926597
      83      24       3    1990       87.0000000     1421.2773925     1310.0000000     1400.9224351
      84      25       3    1990       80.0000000     1429.0629930     1320.0000000     1409.4303024
      85      26       3    1990       84.0000000     1443.8963629     1340.0000000     1427.1362711
      86      27       3    1990       82.0000000     1423.0696715     1310.0000000     1395.7143974
      87      28       3    1990       91.0000000     1424.3928322     1310.0000000     1409.8398271
      88      29       3    1990       97.0000000     1447.0404579     1330.0000000     1427.5766414
      89      30       3    1990      110.0000000     1504.7229970     1410.0000000     1502.6158567
      90      31       3    1990       97.0000000     1534.7924919     1430.0000000     1519.9090743
      91       1       4    1990       93.0000000     1490.2152124     1370.0000000     1457.6124026
      92       2       4    1990       85.0000000     1458.4269913     1350.0000000     1435.4827417
      93       3       4    1990       84.0000000     1466.2908724     1360.0000000     1451.7323916
      94       4       4    1990       81.0000000     1472.4939965     1360.0000000     1450.9497177
      95       5       4    1990       81.0000000     1449.9370873     1340.0000000     1427.0188410
      96       6       4    1990       76.0000000     1420.5439284     1310.0000000     1395.4787996
      97       7       4    1990       72.0000000     1364.6352839     1250.0000000     1333.1576848
      98       8       4    1990       68.0000000     1340.7825048     1240.0000000     1321.2691427
      99       9       4    1990       72.0000000     1320.9018001     1220.0000000     1299.5315486
     100      10       4    1990       65.0000000     1314.3470029     1220.0000000     1297.9658390
     101      11       4    1990       62.0000000     1297.9387595     1200.0000000     1277.5290642
     102      12       4    1990       62.0000000     1309.7261189     1220.0000000     1299.3718814
     103      13       4    1990       65.0000000     1326.7785403     1230.0000000     1312.3965160
     104      14       4    1990       68.0000000     1352.4495523     1230.0000000     1330.0876289
     105      15       4    1990       75.0000000     1333.2389862     1200.0000000     1299.7248629
     106      16       4    1990       90.0000000     1352.1681850     1240.0000000     1337.2500263
     107      17       4    1990       92.0000000     1412.0287312     1310.0000000     1407.2917783
     108      18       4    1990       94.0000000     1474.1809432     1370.0000000     1466.4244351
     109      19       4    1990      110.0000000     1482.6597528     1370.0000000     1461.6763556
     110      20       4    1990       99.0000000     1486.5349018     1380.0000000     1468.8001646
     111      21       4    1990       86.0000000     1485.5481667     1380.0000000     1466.1393642
     112      22       4    1990       86.0000000     1459.7473537     1340.0000000     1427.6947968
     113      23       4    1990       86.0000000     1411.9858622     1280.0000000     1377.4731943
     114      24       4    1990       88.0000000     1359.4301521     1230.0000000     1325.9867248
     115      25       4    1990       93.0000000     1456.1552405     1380.0000000     1470.1170169
     116      26       4    1990       99.0000000     1586.9261711     1510.0000000     1597.1672944
     117      27       4    1990       86.0000000     1598.4901926     1490.0000000     1575.3025291
     118      28       4    1990       74.0000000     1575.5658555     1470.0000000     1552.9657535
     119      29       4    1990       72.0000000     1521.8003355     1410.0000000     1490.6669795
     120      30       4    1990       77.0000000     1459.1289011     1350.0000000     1428.5790042
     121       1       5    1990       56.0000000     1442.9455041     1350.0000000     1426.6415442
     122       2       5    1990       64.0000000     1378.9353703     1270.0000000     1344.8388456
     123       3       5    1990       58.0000000     1327.6611631     1230.0000000     1303.1570369
     124       4       5    1990       50.0000000     1301.1009937     1210.0000000     1281.5838790
     125       5       5    1990       50.0000000     1271.5256299     1180.0000000     1250.1085514
     126       6       5    1990       50.0000000     1270.6416100     1190.0000000     1258.7252425
     127       7       5    1990       50.0000000     1271.5410107     1190.0000000     1257.7649066
     128       8       5    1990       53.0000000     1294.7770702     1220.0000000     1288.3017029
     129       9       5    1990       62.0000000     1346.8067622     1280.0000000     1347.2205733
     130      10       5    1990       64.0000000     1397.8395158     1320.0000000     1390.9104540
     131      11       5    1990       65.0000000     1407.4470411     1320.0000000     1391.1228210
     132      12       5    1990       75.0000000     1408.0977143     1330.0000000     1396.5118943
     133      13       5    1990       71.0000000     1470.2808550     1410.0000000     1475.0920507
     134      14       5    1990       63.0000000     1479.4496089     1400.0000000     1463.9413679
     135      15       5    1990       61.0000000     1438.0530839     1350.0000000     1413.8262385
     136      16       5    1990       49.0000000     1425.2138160     1350.0000000     1412.5814282
     137      17       5    1990       46.0000000     1431.3879588     1360.0000000     1421.2568834
     138      18       5    1990       46.0000000     1432.3714343     1360.0000000     1420.2067615
     139      19       5    1990       48.0000000     1431.1367713     1360.0000000     1419.2089708
     140      20       5    1990       41.0000000     1430.1635045     1360.0000000     1418.4992293
     141      21       5    1990       45.0000000     1421.6787043     1340.0000000     1408.4355944
     142      22       5    1990       52.0000000     1432.1880512     1360.0000000     1422.8107986
     143      23       5    1990       50.0000000     1460.3856246     1390.0000000     1457.8611786
     144      24       5    1990       56.0000000     1486.1360662     1410.0000000     1479.2455251
     145      25       5    1990       41.0000000     1501.9235428     1430.0000000     1493.8829183
     146      26       5    1990       40.0000000     1539.9871183     1480.0000000     1540.2920989
     147      27       5    1990       39.0000000     1611.6731846     1560.0000000     1619.0388157
     148      28       5    1990       39.0000000     1775.1673727     1750.0000000     1807.8646847
     149      29       5    1990       33.0000000     1740.1557500     1650.0000000     1706.7614849
     150      30       5    1990       37.0000000     1615.7983480     1520.0000000     1575.7219902
     151      31       5    1990       30.0000000     1538.6532337     1460.0000000     1514.7398352
     152       1       6    1990       37.0000000     1510.3435112     1430.0000000     1488.6936484
     153       2       6    1990       36.0000000     1472.4510238     1390.0000000     1450.4870043
     154       3       6    1990       40.0000000     1478.8181191     1370.0000000     1448.9346117
     155       4       6    1990       45.0000000     1471.3386252     1390.0000000     1454.1709352
     156       5       6    1990       39.0000000     1469.0453241     1400.0000000     1458.5520196
     157       6       6    1990       48.0000000     1438.9052238     1360.0000000     1417.2884639
     158       7       6    1990       39.0000000     1527.0493957     1420.0000000     1523.9111184
     159       8       6    1990       49.0000000     1634.5245667     1530.0000000     1625.3337720
     160       9       6    1990       84.0000000     1699.6256448     1600.0000000     1690.4043556
     161      10       6    1990       91.0000000     1781.7477101     1700.0000000     1782.7906490
     162      11       6    1990       80.0000000     1956.1932524     1910.0000000     1986.3190781
     163      12       6    1990       66.0000000     2061.9421055     1990.0000000     2063.3942739
     164      13       6    1990       53.0000000     2115.6399837     2040.0000000     2111.0631891
     165      14       6    1990       64.0000000     2108.3351789     2020.0000000     2088.4340324
     166      15       6    1990       55.0000000     2108.3789611     2030.0000000     2096.0588913
     167      16       6    1990       54.0000000     2115.6642235     2040.0000000     2103.9656593
     168      17       6    1990       42.0000000     2084.6118750     2000.0000000     2062.0487591
     169      18       6    1990       48.0000000     1981.6518972     1880.0000000     1941.6424677
     170      19       6    1990       48.0000000     1903.9874950     1790.0000000     1871.4459902
     171      20       6    1990       60.0000000     1884.9226683     1770.0000000     1863.0995483
     172      21       6    1990       75.0000000     1874.0801949     1770.0000000     1854.3466303
     173      22       6    1990       78.0000000     1907.8194744     1830.0000000     1906.0064753
     174      23       6    1990       66.0000000     2080.0254960     2040.0000000     2112.2409886
     175      24       6    1990       63.0000000     2108.2052893     2020.0000000     2089.6268271
     176      25       6    1990       52.0000000     1992.3769947     1880.0000000     1947.1523484
     177      26       6    1990       49.0000000     1865.0724028     1760.0000000     1824.9426073
     178      27       6    1990       44.0000000     1793.4489224     1690.0000000     1761.6950999
     179      28       6    1990       51.0000000     1804.3105308     1730.0000000     1797.4992854
     180      29       6    1990       61.0000000     1821.7165826     1710.0000000     1797.1070031
     181      30       6    1990       81.0000000     1905.3988569     1780.0000000     1886.7974994
     182       1       7    1990       79.0000000     1865.9613071     1740.0000000     1826.2220718
     183       2       7    1990       92.0000000     1943.3214822     1870.0000000     1949.8499295
