      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
      77      18       3    1990      123.0000000     1528.9119174     1490.0000000     1490.0000000
      78      19       3    1990      115.0000000     1462.2102611     1420.0000000     1420.0000000
      79      20       3    1990      113.0000000     1414.3625489     1380.0000000     1380.0000000
      80      21       3    1990      102.0000000     1412.1039246     1390.0000000     1390.0000000
      81      22       3    1990      105.0000000     1375.1419016     1340.0000000     1340.0000000
      82      23       3    1990      106.0000000     1332.2874952     1300.0000000     1300.0000000
      83      24       3    1990       87.0000000     1329.9911087     1310.0000000     1310.0000000
      84      25       3    1990       80.0000000     1339.2134968     1320.0000000     1320.0000000
      85      26       3    1990       84.0000000     1356.3010373     1340.0000000     1340.0000000
      86      27       3    1990       82.0000000     1337.1459589     1310.0000000     1310.0000000
      87      28       3    1990       91.0000000     1330.4127570     1310.0000000     1310.0000000
      88      29       3    1990       97.0000000     1345.8855189     1330.0000000     1330.0000000
      89      30       3    1990      110.0000000     1411.1865218     1410.0000000     1410.0000000
      90      31       3    1990       97.0000000     1444.3320981     1430.0000000     1430.0000000
      91       1       4    1990       93.0000000     1402.0928808     1370.0000000     1370.0000000
      92       2       4    1990       85.0000000     1372.4708808     1350.0000000     1350.0000000
      93       3       4    1990       84.0000000     1377.0830333     1360.0000000     1360.0000000
      94       4       4    1990       81.0000000     1379.6661780     1360.0000000     1360.0000000
      95       5       4    1990       81.0000000     1362.7765398     1340.0000000     1340.0000000
      96       6       4    1990       76.0000000     1334.5605381     1310.0000000     1310.0000000
      97       7       4    1990       72.0000000     1280.9531674     1250.0000000     1250.0000000
      98       8       4    1990       68.0000000     1259.0971805     1240.0000000     1240.0000000
      99       9       4    1990       72.0000000     1240.9835794     1220.0000000     1220.0000000
     100      10       4    1990       65.0000000     1236.0449833     1220.0000000     1220.0000000
     101      11       4    1990       62.0000000     1220.2706037     1200.0000000     1200.0000000
     102      12       4    1990       62.0000000     1230.8652537     1220.0000000     1220.0000000
     103      13       4    1990       65.0000000     1244.2943564     1230.0000000     1230.0000000
     104      14       4    1990       68.0000000     1258.2308967     1230.0000000     1230.0000000
     105      15       4    1990       75.0000000     1231.5436690     1200.0000000     1200.0000000
     106      16       4    1990       90.0000000     1254.3508094     1240.0000000     1240.0000000
     107      17       4    1990       92.0000000     1315.7265328     1310.0000000     1310.0000000
     108      18       4    1990       94.0000000     1376.9882175     1370.0000000     1370.0000000
     109      19       4    1990      110.0000000     1390.1580421     1370.0000000     1370.0000000
     110      20       4    1990       99.0000000     1397.0833435     1380.0000000     1380.0000000
     111      21       4    1990       86.0000000     1398.8204360     1380.0000000     1380.0000000
     112      22       4    1990       86.0000000     1372.5936041     1340.0000000     1340.0000000
     113      23       4    1990       86.0000000     1316.8060798     1280.0000000     1280.0000000
     114      24       4    1990       88.0000000     1262.0397811     1230.0000000     1230.0000000
     115      25       4    1990       93.0000000     1365.4132569     1380.0000000     1380.0000000
     116      26       4    1990       99.0000000     1499.1877997     1510.0000000     1510.0000000
     117      27       4    1990       86.0000000     1512.7455769     1490.0000000     1490.0000000
     118      28       4    1990       74.0000000     1492.0893878     1470.0000000     1470.0000000
     119      29       4    1990       72.0000000     1440.6327181     1410.0000000     1410.0000000
     120      30       4    1990       77.0000000     1380.0861731     1350.0000000     1350.0000000
     121       1       5    1990       56.0000000     1365.8732168     1350.0000000     1350.0000000
     122       2       5    1990       64.0000000     1303.6953324     1270.0000000     1270.0000000
     123       3       5    1990       58.0000000     1254.1294623     1230.0000000     1230.0000000
     124       4       5    1990       50.0000000     1229.1663102     1210.0000000     1210.0000000
     125       5       5    1990       50.0000000     1201.0877720     1180.0000000     1180.0000000
