      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       7    1990       79.0000000       41.8096819
       2       2       7    1990       92.0000000       33.2764920
       3       3       7    1990       72.0000000       37.4417860
       4       4       7    1990       58.0000000       46.5172966
       5       5       7    1990       69.0000000       57.7552970
       6       6       7    1990       94.0000000       43.4960281
       7       7       7    1990      199.0000000       38.5305729
       8       8       7    1990      133.0000000       36.2022470
       9       9       7    1990      124.0000000       32.1269399
      10      10       7    1990      123.0000000       31.5027824
      11      11       7    1990       99.0000000       30.9144352
      12      12       7    1990       88.0000000       30.3579967
      13      13       7    1990       84.0000000       29.8304841
      14      14       7    1990       72.0000000       29.3292413
      15      15       7    1990       55.0000000       28.8518995
      16      16       7    1990       65.0000000       28.3963428
      17      17       7    1990       50.0000000       27.9606788
      18      18       7    1990       50.0000000       27.5432120
      19      19       7    1990       46.0000000       27.1424216
      20      20       7    1990       44.0000000       26.7569417
      21      21       7    1990       42.0000000       26.3855438
      22      22       7    1990       37.0000000       26.0271216
      23      23       7    1990       38.0000000       25.6806775
      24      24       7    1990       44.0000000       25.3453111
      25      25       7    1990       30.0000000       25.0202086
      26      26       7    1990       26.0000000       24.7046335
      27      27       7    1990       31.0000000       24.3979189
      28      28       7    1990       33.0000000       25.9580128
      29      29       7    1990       42.0000000       24.1121233
      30      30       7    1990       36.0000000       23.5801630
      31      31       7    1990       34.0000000       23.2999287
      32       1       8    1990       25.0000000       23.0263201
      33       2       8    1990       22.0000000       22.7589335
      34       3       8    1990       28.0000000       22.4974009
      35       4       8    1990       25.0000000       22.2413860
      36       5       8    1990       19.0000000       21.9905816
      37       6       8    1990       22.0000000       21.7447064
      38       7       8    1990       19.0000000       21.5035030
      39       8       8    1990       22.0000000       21.2667350
      40       9       8    1990       19.0000000       21.0341857
      41      10       8    1990       20.0000000       20.8056557
      42      11       8    1990       19.0000000       20.5809615
      43      12       8    1990       19.0000000       20.3599343
      44      13       8    1990       22.0000000       22.6175449
      45      14       8    1990       36.0000000       33.1707940
      46      15       8    1990       31.0000000       27.8735693
      47      16       8    1990       30.0000000       24.3804967
      48      17       8    1990       28.0000000       20.7324535
      49      18       8    1990       34.0000000       19.6143366
      50      19       8    1990       21.0000000       19.3847297
      51      20       8    1990       30.0000000       19.1605942
      52      21       8    1990       22.0000000       18.9413224
      53      22       8    1990       21.0000000       18.7266326
      54      23       8    1990       23.0000000       18.5162682
      55      24       8    1990       20.0000000       18.3099944
      56      25       8    1990       29.0000000       18.1076211
      57      26       8    1990       20.0000000       17.9659837
      58      27       8    1990       22.0000000       18.3541956
      59      28       8    1990       23.0000000       17.5550297
      60      29       8    1990       35.0000000       17.3372326
      61      30       8    1990       51.0000000       94.7330546
      62      31       8    1990       80.0000000       82.7103351
      63       1       9    1990       56.0000000       26.9806391
      64       2       9    1990       33.0000000       21.1662107
      65       3       9    1990       27.0000000       20.6434782
      66       4       9    1990       27.0000000       22.9026141
      67       5       9    1990       28.0000000       22.0700208
      68       6       9    1990       26.0000000       19.3400378
      69       7       9    1990       24.0000000       21.4169297
      70       8       9    1990       33.0000000       19.4102759
      71       9       9    1990       26.0000000       18.4303280
      72      10       9    1990       27.0000000       18.0769328
      73      11       9    1990       22.0000000       17.7432096
      74      12       9    1990       22.0000000       17.4273003
      75      13       9    1990       21.0000000       17.1275517
      76      14       9    1990       22.0000000       16.8424905
      77      15       9    1990       22.0000000       16.5708021
      78      16       9    1990       22.0000000       16.3113116
      79      17       9    1990       20.0000000       16.0629674
      80      18       9    1990       22.0000000       15.8248272
      81      19       9    1990       16.0000000       15.5960454
      82      20       9    1990       22.0000000       15.3758619
      83      21       9    1990       19.0000000       19.4659400
      84      22       9    1990       32.0000000       77.6649540
      85      23       9    1990       27.0000000       54.9679487
