      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       7    1990       79.0000000       84.3493183
       2       2       7    1990       92.0000000       70.4486130
       3       3       7    1990       72.0000000       77.3666966
       4       4       7    1990       58.0000000       93.5852270
       5       5       7    1990       69.0000000      121.5414102
       6       6       7    1990       94.0000000      104.4179551
       7       7       7    1990      199.0000000      100.4686096
       8       8       7    1990      133.0000000      100.2236683
       9       9       7    1990      124.0000000       86.7400211
      10      10       7    1990      123.0000000       81.8741290
      11      11       7    1990       99.0000000       77.9789288
      12      12       7    1990       88.0000000       74.5494819
      13      13       7    1990       84.0000000       71.4445957
      14      14       7    1990       72.0000000       68.6257467
      15      15       7    1990       55.0000000       66.0595921
      16      16       7    1990       65.0000000       63.7171873
      17      17       7    1990       50.0000000       61.5733370
      18      18       7    1990       50.0000000       59.6060528
      19      19       7    1990       46.0000000       57.7960983
      20      20       7    1990       44.0000000       56.1266050
      21      21       7    1990       42.0000000       54.5827478
      22      22       7    1990       37.0000000       53.1514707
      23      23       7    1990       38.0000000       51.8212518
      24      24       7    1990       44.0000000       50.5819038
      25      25       7    1990       30.0000000       49.4244030
      26      26       7    1990       26.0000000       48.3407424
      27      27       7    1990       31.0000000       47.3238052
      28      28       7    1990       33.0000000       49.4057168
      29      29       7    1990       42.0000000       46.9598745
      30      30       7    1990       36.0000000       44.9510459
      31      31       7    1990       34.0000000       44.1173466
      32       1       8    1990       25.0000000       43.3274323
      33       2       8    1990       22.0000000       42.5773956
      34       3       8    1990       28.0000000       41.8637337
      35       4       8    1990       25.0000000       41.1833023
      36       5       8    1990       19.0000000       40.5334126
      37       6       8    1990       22.0000000       39.9119191
      38       7       8    1990       19.0000000       39.3153386
      39       8       8    1990       22.0000000       38.7422145
      40       9       8    1990       19.0000000       38.1907359
      41      10       8    1990       20.0000000       37.6592175
      42      11       8    1990       19.0000000       37.1461350
      43      12       8    1990       19.0000000       36.6501080
      44      13       8    1990       22.0000000       41.3108506
      45      14       8    1990       36.0000000       62.7591323
      46      15       8    1990       31.0000000       53.5105444
      47      16       8    1990       30.0000000       47.6915029
      48      17       8    1990       28.0000000       44.0340590
      49      18       8    1990       34.0000000       37.2869544
      50      19       8    1990       21.0000000       36.6460819
      51      20       8    1990       30.0000000       36.0372465
      52      21       8    1990       22.0000000       35.4572061
      53      22       8    1990       21.0000000       34.9034007
      54      23       8    1990       23.0000000       34.3735418
      55      24       8    1990       20.0000000       33.8655811
      56      25       8    1990       29.0000000       33.3793443
      57      26       8    1990       20.0000000       33.4215956
      58      27       8    1990       22.0000000       34.6497807
      59      28       8    1990       23.0000000       32.7038791
      60      29       8    1990       35.0000000       31.7856596
      61      30       8    1990       51.0000000      118.9819703
      62      31       8    1990       80.0000000      114.2102812
      63       1       9    1990       56.0000000       54.2563853
      64       2       9    1990       33.0000000       45.2353866
      65       3       9    1990       27.0000000       43.6171151
      66       4       9    1990       27.0000000       46.2061911
      67       5       9    1990       28.0000000       45.6026793
      68       6       9    1990       26.0000000       40.7240593
      69       7       9    1990       24.0000000       45.9957196
      70       8       9    1990       33.0000000       42.8690051
      71       9       9    1990       26.0000000       38.7608701
      72      10       9    1990       27.0000000       37.6640745
      73      11       9    1990       22.0000000       36.6512640
      74      12       9    1990       22.0000000       35.7130745
      75      13       9    1990       21.0000000       34.8416365
      76      14       9    1990       22.0000000       34.0300231
      77      15       9    1990       22.0000000       33.2721255
      78      16       9    1990       22.0000000       32.5625462
      79      17       9    1990       20.0000000       31.8965078
      80      18       9    1990       22.0000000       31.2697745
      81      19       9    1990       16.0000000       30.6785844
      82      20       9    1990       22.0000000       30.1195915
      83      21       9    1990       19.0000000       38.7667701
      84      22       9    1990       32.0000000      105.5886696
      85      23       9    1990       27.0000000       86.2258182
      86      24       9    1990       45.0000000       62.2857197
      87      25       9    1990       42.0000000       47.9485205
      88      26       9    1990       39.0000000       44.1095834
      89      27       9    1990       30.0000000       42.4051415
      90      28       9    1990       28.0000000       40.8515645
      91      29       9    1990       30.0000000       39.4341393
      92      30       9    1990       30.0000000       90.4327662
      93       1      10    1990       56.0000000      135.9127612
      94       2      10    1990       72.0000000      100.9854332
      95       3      10    1990       73.0000000       97.9132961
      96       4      10    1990       68.0000000       92.2846817
      97       5      10    1990       53.0000000       79.0468124
      98       6      10    1990       42.0000000       72.9810880
      99       7      10    1990       33.0000000       68.7937402
     100       8      10    1990       42.0000000       65.0814980
     101       9      10    1990       34.0000000       61.7477120
     102      10      10    1990       36.0000000       58.7377711
     103      11      10    1990       36.0000000       56.0208602
     104      12      10    1990       28.0000000       53.5619951
     105      13      10    1990       32.0000000       51.3309034
     106      14      10    1990       27.0000000       49.3013166
     107      15      10    1990       35.0000000       47.8957946
     108      16      10    1990       42.0000000       48.9090474
     109      17      10    1990       35.0000000       58.3509109
     110      18      10    1990       39.0000000       57.2323288
     111      19      10    1990       34.0000000       48.0577198
     112      20      10    1990       32.0000000       46.3003878
     113      21      10    1990       34.0000000       44.7003401
     114      22      10    1990       27.0000000       43.2320766
     115      23      10    1990       31.0000000       41.8813965
     116      24      10    1990       28.0000000       40.6358359
     117      25      10    1990       25.0000000       40.6784074
     118      26      10    1990       29.0000000       58.9809883
     119      27      10    1990       31.0000000       66.7306096
     120      28      10    1990       65.0000000      194.6662712
     121      29      10    1990       69.0000000      205.5713522
     122      30      10    1990      157.0000000      170.6299444
     123      31      10    1990      190.0000000      148.3944127
     124       1      11    1990      115.0000000      151.9077664
     125       2      11    1990      104.0000000      160.6980604
     126       3      11    1990      100.0000000      169.9883751
     127       4      11    1990      131.0000000      166.6648326
     128       5      11    1990      130.0000000      160.1271911
     129       6      11    1990      115.0000000      140.8036747
     130       7      11    1990      102.0000000      123.8255598
     131       8      11    1990       95.0000000      109.5217633
     132       9      11    1990       81.0000000       98.1892527
     133      10      11    1990       66.0000000      105.7188729
     134      11      11    1990       67.0000000      137.5108943
     135      12      11    1990       74.0000000      149.5223578
     136      13      11    1990      109.0000000      141.4800041
     137      14      11    1990       92.0000000      165.1358548
     138      15      11    1990       92.0000000      178.1494241
     139      16      11    1990      155.0000000      166.8962506
     140      17      11    1990      159.0000000      157.0199064
     141      18      11    1990      131.0000000      172.6985811
     142      19      11    1990      161.0000000      182.8527478
     143      20      11    1990      196.0000000      284.4850122
     144      21      11    1990      336.0000000      347.9533644
     145      22      11    1990      566.0000000      315.4880483
     146      23      11    1990      373.0000000      325.9468998
     147      24      11    1990      293.0000000      300.7071995
     148      25      11    1990      264.0000000      286.9647504
     149      26      11    1990      226.0000000      258.8459628
     150      27      11    1990      201.0000000      221.8959369
     151      28      11    1990      180.0000000      192.8646001
     152      29      11    1990      161.0000000      182.5195802
     153      30      11    1990      149.0000000      171.3151587
     154       1      12    1990      134.0000000      150.5702221
     155       2      12    1990      113.0000000      136.5694188
     156       3      12    1990       99.0000000      127.1165453
     157       4      12    1990      107.0000000      120.1144389
     158       5      12    1990       99.0000000      113.7402944
     159       6      12    1990       89.0000000      107.8831855
     160       7      12    1990       77.0000000      102.6748399
     161       8      12    1990       71.0000000       97.9918503
     162       9      12    1990       68.0000000       93.7686408
     163      10      12    1990       73.0000000       89.9488756
     164      11      12    1990       84.0000000       86.4840066
     165      12      12    1990       88.0000000      104.1946458
     166      13      12    1990       92.0000000      110.0600906
     167      14      12    1990      128.0000000      101.8864049
     168      15      12    1990      136.0000000       95.1295741
     169      16      12    1990      114.0000000       90.7597869
     170      17      12    1990      101.0000000       86.8917947
     171      18      12    1990       93.0000000       83.4056353
     172      19      12    1990       85.0000000       80.2532487
     173      20      12    1990       81.0000000       77.3934148
     174      21      12    1990      106.0000000      113.0376027
     175      22      12    1990      159.0000000      140.0327543
     176      23      12    1990      250.0000000      154.4493388
     177      24      12    1990      298.0000000      145.1956055
     178      25      12    1990      261.0000000      190.7297323
     179      26      12    1990      228.0000000      301.5323884
     180      27      12    1990      409.0000000      366.9294928
     181      28      12    1990      486.0000000      390.1020867
     182      29      12    1990      440.0000000      498.2550168
     183      30      12    1990      486.0000000      629.2605069
     184      31      12    1990      774.0000000      719.8342217
