      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
       1       1       1    1993    -9999.0000000       88.9219225
       2       2       1    1993    -9999.0000000       86.6846183
       3       3       1    1993    -9999.0000000       84.5965265
       4       4       1    1993    -9999.0000000       82.6435889
       5       5       1    1993    -9999.0000000       80.8132016
       6       6       1    1993    -9999.0000000       79.0940559
       7       7       1    1993    -9999.0000000       77.6166709
       8       8       1    1993    -9999.0000000       77.6232678
       9       9       1    1993    -9999.0000000       77.6945394
      10      10       1    1993    -9999.0000000       76.7542803
      11      11       1    1993    -9999.0000000       87.3985129
      12      12       1    1993    -9999.0000000      105.5168100
      13      13       1    1993    -9999.0000000      115.0097444
      14      14       1    1993    -9999.0000000      125.9542450
      15      15       1    1993    -9999.0000000      126.0300807
      16      16       1    1993    -9999.0000000      125.1041370
      17      17       1    1993    -9999.0000000      123.2930031
      18      18       1    1993    -9999.0000000      117.2775026
      19      19       1    1993    -9999.0000000      108.7486325
      20      20       1    1993    -9999.0000000      103.3386830
      21      21       1    1993    -9999.0000000      102.4213872
      22      22       1    1993    -9999.0000000      101.5570022
      23      23       1    1993    -9999.0000000       98.2042876
      24      24       1    1993    -9999.0000000       94.5431654
      25      25       1    1993    -9999.0000000       91.5727407
      26      26       1    1993    -9999.0000000       88.4411708
      27      27       1    1993    -9999.0000000       85.2489685
      28      28       1    1993    -9999.0000000       82.3296788
      29      29       1    1993    -9999.0000000       79.7308790
      30      30       1    1993    -9999.0000000       77.5314231
      31      31       1    1993    -9999.0000000       75.3238669
      32       1       2    1993    -9999.0000000       73.3969495
      33       2       2    1993    -9999.0000000       71.6031932
      34       3       2    1993    -9999.0000000       69.9696674
      35       4       2    1993    -9999.0000000       68.4462455
      36       5       2    1993    -9999.0000000       66.9630714
      37       6       2    1993    -9999.0000000       65.5679534
      38       7       2    1993    -9999.0000000       64.2530848
      39       8       2    1993    -9999.0000000       63.0113072
      40       9       2    1993    -9999.0000000       61.8361752
      41      10       2    1993    -9999.0000000       60.7218813
      42      11       2    1993    -9999.0000000       59.6631888
      43      12       2    1993    -9999.0000000       58.6553722
      44      13       2    1993    -9999.0000000       57.6941645
      45      14       2    1993    -9999.0000000       56.7757097
      46      15       2    1993    -9999.0000000       55.8965208
      47      16       2    1993    -9999.0000000       55.0534422
      48      17       2    1993    -9999.0000000       54.2436163
      49      18       2    1993    -9999.0000000       53.4644534
      50      19       2    1993    -9999.0000000       52.7201578
