      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       1    1992      140.0000000      106.5063248
       2       2       1    1992      126.0000000      103.0863965
       3       3       1    1992      117.0000000      100.4506958
       4       4       1    1992      114.0000000      100.0148772
       5       5       1    1992      108.0000000       97.5268099
       6       6       1    1992      108.0000000       93.8464685
       7       7       1    1992      101.0000000       91.2415306
       8       8       1    1992       97.0000000       91.3018284
       9       9       1    1992       89.0000000       97.8630724
      10      10       1    1992      111.0000000      122.1312938
      11      11       1    1992      135.0000000      113.6981192
      12      12       1    1992      171.0000000       99.2769002
      13      13       1    1992      125.0000000       96.0651834
      14      14       1    1992      111.0000000       93.2173018
      15      15       1    1992      100.0000000       90.6039049
      16      16       1    1992       87.0000000       88.3087367
      17      17       1    1992       75.0000000       86.0812048
      18      18       1    1992       79.0000000       83.9950243
      19      19       1    1992       70.0000000       87.4711378
      20      20       1    1992       72.0000000       83.9868489
      21      21       1    1992       87.0000000       82.1694239
      22      22       1    1992       79.0000000       79.0489582
      23      23       1    1992       71.0000000       77.3909405
      24      24       1    1992       66.0000000       75.8375435
      25      25       1    1992       67.0000000       74.3776052
      26      26       1    1992       65.0000000       73.0017334
      27      27       1    1992       59.0000000       71.7016397
      28      28       1    1992       57.0000000       70.4741025
      29      29       1    1992       54.0000000       69.4782380
      30      30       1    1992       59.0000000       69.9797540
      31      31       1    1992       57.0000000       73.7439791
      32       1       2    1992       56.0000000       75.3972017
      33       2       2    1992       54.0000000       72.9189767
      34       3       2    1992       58.0000000       70.6669736
      35       4       2    1992       63.0000000      100.0390839
      36       5       2    1992       76.0000000      130.0244149
      37       6       2    1992      250.0000000      125.6578361
      38       7       2    1992      346.0000000      110.4084284
      39       8       2    1992      241.0000000      102.5409194
      40       9       2    1992      180.0000000      103.6405351
      41      10       2    1992      164.0000000      111.6380232
      42      11       2    1992      183.0000000      122.5059466
      43      12       2    1992      215.0000000      137.7419078
      44      13       2    1992      265.0000000      137.4301787
      45      14       2    1992      287.0000000      146.4663524
      46      15       2    1992      272.0000000      143.2570639
      47      16       2    1992      253.0000000      163.1552396
      48      17       2    1992      301.0000000      161.1982162
      49      18       2    1992      275.0000000      141.8187346
      50      19       2    1992      224.0000000      127.7256369
      51      20       2    1992      194.0000000      117.4979032
      52      21       2    1992      173.0000000      110.7925606
      53      22       2    1992      157.0000000      105.6926995
      54      23       2    1992      142.0000000      101.7312651
      55      24       2    1992      133.0000000       99.6025717
      56      25       2    1992      128.0000000       97.4538882
      57      26       2    1992      125.0000000       93.3404961
      58      27       2    1992      125.0000000       90.1507672
      59      28       2    1992      110.0000000       87.2951565
      60      29       2    1992      107.0000000       84.6742581
      61       1       3    1992       97.0000000       82.3167738
      62       2       3    1992       97.0000000       80.3474635
      63       3       3    1992       86.0000000       82.5754559
      64       4       3    1992       93.0000000       79.2421810
      65       5       3    1992       86.0000000       77.0313975
      66       6       3    1992       82.0000000       75.2304396
      67       7       3    1992       80.0000000       73.4898256
      68       8       3    1992       77.0000000       71.8574831
      69       9       3    1992       73.0000000       70.3291308
      70      10       3    1992       76.0000000       68.9632652
      71      11       3    1992       68.0000000       67.7843271
      72      12       3    1992       70.0000000      104.2768269
      73      13       3    1992      116.0000000      149.2808669
      74      14       3    1992      206.0000000      167.9712547
      75      15       3    1992      433.0000000      189.8717117
      76      16       3    1992      495.0000000      219.7594537
      77      17       3    1992      331.0000000      193.9879623
      78      18       3    1992      240.0000000      170.1973561
      79      19       3    1992      215.0000000      150.8135506
      80      20       3    1992      185.0000000      134.7466278
      81      21       3    1992      185.0000000      128.4040383
      82      22       3    1992      185.0000000      152.6696439
      83      23       3    1992      213.0000000      228.7356554
      84      24       3    1992      466.0000000      259.5259630
      85      25       3    1992      580.0000000      281.5883661
      86      26       3    1992      566.0000000      268.1735042
      87      27       3    1992      487.0000000      242.6690783
      88      28       3    1992      387.0000000      222.2943824
      89      29       3    1992      311.0000000      202.9160079
      90      30       3    1992      270.0000000      182.5759119
      91      31       3    1992      246.0000000      166.1345591
      92       1       4    1992      229.0000000      182.1372360
      93       2       4    1992      222.0000000      181.2847274
      94       3       4    1992      217.0000000      176.7938553
      95       4       4    1992      208.0000000      227.4941258
      96       5       4    1992      220.0000000      231.7608253
      97       6       4    1992      210.0000000      206.8618852
      98       7       4    1992      190.0000000      181.7313115
      99       8       4    1992      173.0000000      161.3310209
     100       9       4    1992      166.0000000      144.5134588
     101      10       4    1992      133.0000000      131.0911417
     102      11       4    1992      126.0000000      120.3196342
     103      12       4    1992      124.0000000      112.7272945
     104      13       4    1992      116.0000000      107.8947210
     105      14       4    1992      112.0000000      107.9622851
     106      15       4    1992      111.0000000      130.1470744
     107      16       4    1992      137.0000000      146.9641908
     108      17       4    1992      206.0000000      135.4762205
     109      18       4    1992      176.0000000      134.5579104
     110      19       4    1992      161.0000000      124.5484158
     111      20       4    1992      161.0000000      117.8542520
     112      21       4    1992      139.0000000      112.7794138
     113      22       4    1992      139.0000000      108.4582746
     114      23       4    1992      123.0000000      104.5508104
     115      24       4    1992      119.0000000      100.9998214
     116      25       4    1992      111.0000000       97.7639704
     117      26       4    1992       94.0000000       94.8412245
     118      27       4    1992       94.0000000       93.6318178
     119      28       4    1992      102.0000000       99.8000264
     120      29       4    1992      120.0000000       98.6691464
     121      30       4    1992      120.0000000       95.0542072
     122       1       5    1992      114.0000000      105.9640674
     123       2       5    1992      115.0000000      136.9742757
     124       3       5    1992      206.0000000      116.0007511
     125       4       5    1992      215.0000000      108.6167169
     126       5       5    1992      125.0000000      104.0886300
     127       6       5    1992      123.0000000      100.3748759
     128       7       5    1992      113.0000000       97.0378432
     129       8       5    1992       77.0000000       93.9946260
     130       9       5    1992       83.0000000       91.4104686
     131      10       5    1992       83.0000000      100.2739264
     132      11       5    1992       96.0000000       99.8168480
     133      12       5    1992      120.0000000       89.9655263
     134      13       5    1992       80.0000000       85.9666316
     135      14       5    1992       76.0000000       83.6879152
     136      15       5    1992       69.0000000       81.6411039
     137      16       5    1992       63.0000000       79.7387265
     138      17       5    1992       61.0000000       77.9653960
     139      18       5    1992       60.0000000       76.3076281
     140      19       5    1992       59.0000000       74.7535757
     141      20       5    1992       67.0000000       73.2928546
     142      21       5    1992       51.0000000       71.9195048
     143      22       5    1992       44.0000000       70.6234398
     144      23       5    1992       42.0000000       69.3909761
     145      24       5    1992       51.0000000       68.2292910
     146      25       5    1992       42.0000000       67.5257402
     147      26       5    1992       54.0000000       76.5141830
     148      27       5    1992       53.0000000       70.7644297
     149      28       5    1992       59.0000000       65.5287849
     150      29       5    1992       55.0000000       72.3937588
     151      30       5    1992       54.0000000       74.3553165
     152      31       5    1992       48.0000000       66.6795836
     153       1       6    1992       63.0000000       69.6557614
     154       2       6    1992       61.0000000       70.9205135
     155       3       6    1992       55.0000000       68.8425148
     156       4       6    1992       75.0000000       82.2330699
     157       5       6    1992       53.0000000      100.8288592
     158       6       6    1992       77.0000000       95.4648990
     159       7       6    1992      114.0000000       91.4872720
     160       8       6    1992      167.0000000      101.6262745
     161       9       6    1992      116.0000000       93.4866376
     162      10       6    1992       91.0000000       82.2750878
     163      11       6    1992       85.0000000       79.4309939
     164      12       6    1992       68.0000000       76.8987069
     165      13       6    1992       71.0000000       74.6196297
     166      14       6    1992       63.0000000       72.5243655
     167      15       6    1992       59.0000000       70.5927983
     168      16       6    1992       46.0000000       68.8064706
     169      17       6    1992       44.0000000       67.1493476
     170      18       6    1992       39.0000000       65.6074601
     171      19       6    1992       41.0000000       64.1768290
     172      20       6    1992       44.0000000       64.8965701
     173      21       6    1992       39.0000000       63.6918128
     174      22       6    1992       32.0000000       60.9668867
     175      23       6    1992       40.0000000       62.1120475
     176      24       6    1992       41.0000000       73.0281811
     177      25       6    1992       42.0000000       70.4903993
