      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398
       1       1       7    1990       79.0000000      108.9589128
       2       2       7    1990       92.0000000       94.1487732
       3       3       7    1990       72.0000000      100.4260751
       4       4       7    1990       58.0000000      118.1348547
       5       5       7    1990       69.0000000      149.7554611
       6       6       7    1990       94.0000000      137.3944661
       7       7       7    1990      199.0000000      132.2188844
       8       8       7    1990      133.0000000      135.6392640
       9       9       7    1990      124.0000000      117.3658900
      10      10       7    1990      123.0000000      109.0108853
      11      11       7    1990       99.0000000      102.6702317
      12      12       7    1990       88.0000000       97.4109078
      13      13       7    1990       84.0000000       92.7512549
      14      14       7    1990       72.0000000       88.5688474
      15      15       7    1990       55.0000000       84.8023687
      16      16       7    1990       65.0000000       81.3994868
      17      17       7    1990       50.0000000       78.3153737
      18      18       7    1990       50.0000000       75.5114971
      19      19       7    1990       46.0000000       72.9546277
      20      20       7    1990       44.0000000       70.6160215
      21      21       7    1990       42.0000000       68.4707412
      22      22       7    1990       37.0000000       66.4970922
      23      23       7    1990       38.0000000       64.6761514
      24      24       7    1990       44.0000000       62.9913715
      25      25       7    1990       30.0000000       61.4282485
      26      26       7    1990       26.0000000       59.9740408
      27      27       7    1990       31.0000000       58.6175304
      28      28       7    1990       33.0000000       60.4635673
      29      29       7    1990       42.0000000       57.8320645
      30      30       7    1990       36.0000000       55.5444161
      31      31       7    1990       34.0000000       54.4478276
      32       1       8    1990       25.0000000       53.4140162
      33       2       8    1990       22.0000000       52.4370304
      34       3       8    1990       28.0000000       51.5115738
      35       4       8    1990       25.0000000       50.6329248
      36       5       8    1990       19.0000000       49.7970439
      37       6       8    1990       22.0000000       49.0006793
      38       7       8    1990       19.0000000       48.2389274
      39       8       8    1990       22.0000000       47.5095181
      40       9       8    1990       19.0000000       46.8098219
      41      10       8    1990       20.0000000       46.1373976
      42      11       8    1990       19.0000000       45.4900482
      43      12       8    1990       19.0000000       44.8657938
      44      13       8    1990       22.0000000       49.4533108
      45      14       8    1990       36.0000000       71.0899137
      46      15       8    1990       31.0000000       62.2198708
      47      16       8    1990       30.0000000       56.4647884
      48      17       8    1990       28.0000000       52.9295494
      49      18       8    1990       34.0000000       46.0048150
      50      19       8    1990       21.0000000       45.1633592
      51      20       8    1990       30.0000000       44.3681348
      52      21       8    1990       22.0000000       43.6143274
      53      22       8    1990       21.0000000       42.8980037
      54      23       8    1990       23.0000000       42.2156747
      55      24       8    1990       20.0000000       41.5642392
      56      25       8    1990       29.0000000       40.9431706
      57      26       8    1990       20.0000000       40.8649273
      58      27       8    1990       22.0000000       41.9940470
      59      28       8    1990       23.0000000       39.9478884
      60      29       8    1990       35.0000000       38.9183204
      61      30       8    1990       51.0000000      126.7680479
      62      31       8    1990       80.0000000      125.5228234
      63       1       9    1990       56.0000000       66.7675925
      64       2       9    1990       33.0000000       57.0878954
      65       3       9    1990       27.0000000       54.8170136
      66       4       9    1990       27.0000000       56.8981880
      67       5       9    1990       28.0000000       56.0059503
      68       6       9    1990       26.0000000       50.6994842
      69       7       9    1990       24.0000000       55.7354815
      70       8       9    1990       33.0000000       52.5148480
      71       9       9    1990       26.0000000       48.0456165
      72      10       9    1990       27.0000000       46.5884981
      73      11       9    1990       22.0000000       45.2511112
      74      12       9    1990       22.0000000       44.0194616
      75      13       9    1990       21.0000000       42.8817229
      76      14       9    1990       22.0000000       41.8275773
      77      15       9    1990       22.0000000       40.8480015
      78      16       9    1990       22.0000000       39.9350868
      79      17       9    1990       20.0000000       39.0818864
      80      18       9    1990       22.0000000       38.2822856
      81      19       9    1990       16.0000000       37.5308914
      82      20       9    1990       22.0000000       36.8229385
      83      21       9    1990       19.0000000       45.4386926
      84      22       9    1990       32.0000000      113.3110890
      85      23       9    1990       27.0000000       96.6598150
      86      24       9    1990       45.0000000       73.5059114
      87      25       9    1990       42.0000000       58.9662477
      88      26       9    1990       39.0000000       54.5335616
      89      27       9    1990       30.0000000       52.2856986
      90      28       9    1990       28.0000000       50.2496762
      91      29       9    1990       30.0000000       48.4031107
      92      30       9    1990       30.0000000      100.0857660
      93       1      10    1990       56.0000000      150.3174385
      94       2      10    1990       72.0000000      119.7775267
      95       3      10    1990       73.0000000      116.3722118
      96       4      10    1990       68.0000000      111.2941978
      97       5      10    1990       53.0000000       96.8297108
      98       6      10    1990       42.0000000       89.2653388
      99       7      10    1990       33.0000000       83.6995274
     100       8      10    1990       42.0000000       78.9122531
     101       9      10    1990       34.0000000       74.6466616
     102      10      10    1990       36.0000000       70.8211555
     103      11      10    1990       36.0000000       67.3882019
     104      12      10    1990       28.0000000       64.2981679
     105      13      10    1990       32.0000000       61.5085539
     106      14      10    1990       27.0000000       58.9828431
     107      15      10    1990       35.0000000       57.1829846
     108      16      10    1990       42.0000000       57.9755236
     109      17      10    1990       35.0000000       67.4371707
     110      18      10    1990       39.0000000       66.7947769
     111      19      10    1990       34.0000000       57.2970485
     112      20      10    1990       32.0000000       55.1285488
     113      21      10    1990       34.0000000       53.1602798
     114      22      10    1990       27.0000000       51.3611088
     115      23      10    1990       31.0000000       49.7119667
     116      24      10    1990       28.0000000       48.1962376
     117      25      10    1990       25.0000000       48.0470100
     118      26      10    1990       29.0000000       66.6332274
     119      27      10    1990       31.0000000       75.2406996
     120      28      10    1990       65.0000000      207.6145223
     121      29      10    1990       69.0000000      233.2615936
     122      30      10    1990      157.0000000      205.5214359
     123      31      10    1990      190.0000000      179.1822630
     124       1      11    1990      115.0000000      179.9769979
     125       2      11    1990      104.0000000      188.0510829
     126       3      11    1990      100.0000000      197.6222487
     127       4      11    1990      131.0000000      192.5801246
     128       5      11    1990      130.0000000      184.3572003
     129       6      11    1990      115.0000000      162.1124507
     130       7      11    1990      102.0000000      142.9505292
     131       8      11    1990       95.0000000      126.8036012
     132       9      11    1990       81.0000000      113.4166460
     133      10      11    1990       66.0000000      119.6382631
     134      11      11    1990       67.0000000      153.5009617
     135      12      11    1990       74.0000000      168.8698560
     136      13      11    1990      109.0000000      160.0307926
     137      14      11    1990       92.0000000      184.7527736
     138      15      11    1990       92.0000000      201.1675791
     139      16      11    1990      155.0000000      188.1176089
     140      17      11    1990      159.0000000      175.9685362
     141      18      11    1990      131.0000000      191.9853149
     142      19      11    1990      161.0000000      203.9792954
     143      20      11    1990      196.0000000      314.3032534
     144      21      11    1990      336.0000000      397.0572974
     145      22      11    1990      566.0000000      358.2474773
     146      23      11    1990      373.0000000      364.2294709
     147      24      11    1990      293.0000000      334.7012000
     148      25      11    1990      264.0000000      318.3146288
     149      26      11    1990      226.0000000      287.3710457
     150      27      11    1990      201.0000000      245.7184918
     151      28      11    1990      180.0000000      213.2483774
     152      29      11    1990      161.0000000      199.5494317
     153      30      11    1990      149.0000000      187.6951763
     154       1      12    1990      134.0000000      164.7544697
     155       2      12    1990      113.0000000      149.2252602
     156       3      12    1990       99.0000000      138.4230542
     157       4      12    1990      107.0000000      130.5724059
     158       5      12    1990       99.0000000      123.4820731
     159       6      12    1990       89.0000000      116.9930961
     160       7      12    1990       77.0000000      111.2415728
     161       8      12    1990       71.0000000      106.0896666
     162       9      12    1990       68.0000000      101.4595028
     163      10      12    1990       73.0000000       97.2846917
     164      11      12    1990       84.0000000       93.5084309
     165      12      12    1990       88.0000000      111.5071696
     166      13      12    1990       92.0000000      118.8853109
     167      14      12    1990      128.0000000      111.0412843
     168      15      12    1990      136.0000000      103.8205467
     169      16      12    1990      114.0000000       98.8994615
     170      17      12    1990      101.0000000       94.5570502
     171      18      12    1990       93.0000000       90.6616434
     172      19      12    1990       85.0000000       87.1543225
     173      20      12    1990       81.0000000       83.9850008
     174      21      12    1990      106.0000000      120.5127646
     175      22      12    1990      159.0000000      151.5743356
     176      23      12    1990      250.0000000      170.3489657
     177      24      12    1990      298.0000000      161.6047307
     178      25      12    1990      261.0000000      208.3698271
     179      26      12    1990      228.0000000      330.5993243
     180      27      12    1990      409.0000000      405.4698291
     181      28      12    1990      486.0000000      429.7638820
     182      29      12    1990      440.0000000      540.9217579
     183      30      12    1990      486.0000000      678.9311783
     184      31      12    1990      774.0000000      766.8119162
